node1,node2
0,6
0,93
0,139
0,303
0,327
0,374
0,375
0,32
0,15
0,3
0,7
0,36
0,9
0,94
0,57
0,168
0,29
0,10
0,40
0,42
0,14
0,38
0,51
0,52
0,89
0,2
0,25
0,74
0,24
0,8
0,87
0,37
0,22
0,201
0,54
0,130
0,71
3,6
3,8
3,13
3,14
3,15
3,20
3,25
3,33
3,39
3,42
3,65
3,72
3,91
3,130
3,154
3,164
3,203
3,248
3,278
3,300
3,321
3,327
3,332
3,355
3,361
3,365
3,368
3,424
3,425
3,465
3,484
3,499
3,51
3,21
3,79
3,102
3,10
3,9
3,50
3,19
3,23
3,34
3,24
3,16
3,121
3,40
3,2
3,87
3,5
3,207
3,38
3,97
3,22
3,29
3,53
3,92
3,32
3,52
3,30
3,36
3,112
3,11
3,89
3,118
3,27
3,109
3,12
3,54
3,95
3,105
3,124
3,103
3,82
4,7
4,44
4,22
4,100
4,10
4,69
4,221
4,48
5,65
5,1
5,23
5,36
5,7
5,57
5,102
5,24
5,49
5,37
5,10
5,50
5,21
5,74
6,122
6,179
6,273
6,297
6,364
6,57
6,32
6,8
6,7
6,51
6,37
6,2
6,45
6,103
6,34
6,168
6,19
6,14
6,23
6,15
6,36
6,48
6,64
6,62
6,65
6,49
6,78
6,16
6,12
6,30
6,21
6,98
6,100
6,10
6,41
6,47
6,29
6,87
6,89
6,118
7,14
7,26
7,88
7,145
7,159
7,187
7,339
7,344
7,445
7,19
7,44
7,12
7,65
7,57
7,94
7,102
7,32
7,221
7,87
7,15
7,37
7,92
7,97
7,112
7,60
7,22
7,149
7,42
7,18
7,185
7,10
7,1
7,27
7,73
7,56
7,24
7,16
7,8
7,64
9,32
9,49
9,10
9,57
9,60
9,46
9,14
9,155
9,64
9,29
9,69
9,8
9,55
12,118
12,15
12,57
12,11
12,224
12,207
12,29
12,14
12,63
12,70
12,10
12,45
12,69
12,40
12,62
13,407
13,122
13,360
15,450
15,65
15,24
15,22
15,130
15,19
15,70
15,95
15,47
15,74
15,57
15,41
15,14
16,51
16,168
16,29
16,2
16,100
16,14
16,46
16,27
16,40
16,38
16,34
17,84
17,177
17,250
17,313
17,356
17,406
17,183
18,40
18,109
18,21
18,103
18,78
18,55
18,8
18,54
18,97
18,19
22,19
22,57
22,44
22,2
22,24
22,8
22,102
22,54
22,11
22,49
22,10
22,37
22,87
22,112
23,71
23,19
23,51
23,33
23,37
23,10
23,24
23,40
23,130
23,100
23,89
23,64
23,112
23,32
23,109
23,94
23,30
24,2
24,36
24,45
24,207
24,10
24,53
24,94
24,14
24,52
24,49
24,95
24,104
24,221
27,185
27,201
27,100
27,60
27,2
27,55
47,2
47,11
47,97
47,124
47,8
47,54
47,207
47,102
47,42
47,105
57,52
57,46
57,51
57,38
57,149
57,45
57,65
57,8
57,19
57,207
57,10
57,42
57,21
57,40
57,71
57,56
92,8
92,14
92,33
92,130
92,89
92,100
92,185
92,59
92,104
92,62
93,290
93,202
93,266
93,242
94,105
94,74
94,185
94,65
139,337
139,378
139,83
139,389
156,238
156,461
156,164
156,372
156,360
273,171
273,418
273,485
281,106
281,332
281,440
281,485
281,188
281,314
303,211
303,250
318,31
318,272
318,233
322,388
322,400
322,371
327,26
327,382
337,152
337,353
340,218
340,206
340,385
354,181
354,357
354,430
354,478
354,138
365,125
365,170
372,297
372,472
372,216
374,172
374,297
374,462
