node1,node2
0,3
0,4
0,5
0,6
0,7
0,9
0,12
0,13
0,15
0,16
0,17
0,18
0,22
0,23
0,24
0,27
0,47
0,57
0,92
0,93
0,94
0,139
0,156
0,273
0,281
0,303
0,318
0,322
0,327
0,337
0,340
0,354
0,365
0,372
0,374
0,375
0,443
0,487
0,493
1,3
1,19
1,45
1,56
1,61
1,109
1,171
1,188
1,208
1,295
2,3
2,4
2,5
2,6
2,7
2,8
2,10
2,12
2,14
2,15
2,17
2,19
2,20
2,25
2,28
2,31
2,37
2,38
2,49
2,51
2,81
2,101
2,125
2,132
2,183
2,191
2,196
2,221
2,223
2,231
2,233
2,283
2,308
2,311
2,328
2,378
2,388
2,412
2,429
2,439
2,448
2,480
2,483
3,4
3,5
3,6
3,7
3,8
3,12
3,13
3,14
3,15
3,18
3,20
3,25
3,32
3,33
3,35
3,39
3,42
3,44
3,48
3,62
3,63
3,65
3,66
3,71
3,72
3,77
3,91
3,109
3,130
3,141
3,144
3,154
3,164
3,186
3,187
3,190
3,197
3,203
3,205
3,207
3,209
3,217
3,224
3,240
3,248
3,257
3,278
3,285
3,300
3,320
3,321
3,323
3,326
3,327
3,332
3,346
3,353
3,355
3,360
3,361
3,365
3,368
3,387
3,394
3,403
3,416
3,424
3,425
3,452
3,465
3,469
3,484
3,499
4,18
4,83
4,150
4,181
4,272
5,19
5,26
5,31
5,32
5,86
5,176
5,194
5,210
5,233
5,363
5,398
5,410
6,8
6,9
6,11
6,23
6,27
6,28
6,36
6,37
6,44
6,60
6,65
6,99
6,100
6,105
6,114
6,115
6,117
6,118
6,121
6,122
6,123
6,125
6,162
6,179
6,219
6,273
6,297
6,298
6,304
6,317
6,336
6,364
6,371
6,373
6,375
6,398
6,439
6,448
6,450
6,456
6,474
7,10
7,11
7,14
7,22
7,26
7,34
7,39
7,50
7,53
7,69
7,74
7,78
7,82
7,88
7,89
7,95
7,115
7,118
7,129
7,130
7,144
7,145
7,148
7,158
7,159
7,161
7,170
7,187
7,211
7,226
7,247
7,259
7,295
7,316
7,339
7,341
7,344
7,360
7,392
7,441
7,445
7,470
7,498
8,9
8,11
8,20
8,29
8,30
8,33
8,41
8,48
8,49
8,56
8,60
8,69
8,75
8,104
8,169
8,208
8,217
8,221
8,235
8,252
8,280
8,314
8,333
8,340
8,348
8,362
8,371
8,409
8,418
8,443
8,449
8,464
9,10
9,31
9,76
9,102
9,108
9,126
9,155
9,158
9,243
9,254
9,265
9,460
10,13
10,23
10,24
10,32
10,35
10,66
10,71
10,95
10,96
10,104
10,111
10,113
10,127
10,138
10,140
10,141
10,151
10,152
10,181
10,191
10,201
10,213
10,253
10,264
10,275
10,292
10,302
10,334
10,352
10,359
10,363
10,375
10,380
10,409
10,450
10,458
10,478
11,16
11,21
11,47
11,50
11,64
11,113
