node1,node2
0,76
0,91
1,14
1,36
2,60
2,39
2,67
11,108
11,98
11,71
11,107
11,6
11,92
11,112
4,52
4,40
4,21
4,75
4,73
6,58
10,44
10,30
10,23
10,63
13,68
13,31
15,79
15,36
116,48
3,14
3,16
5,95
5,31
7,102
7,18
7,33
12,84
12,55
8,14
8,16
29,103
29,41
29,46
29,54
9,48
16,35
16,19
16,51
16,25
25,91
37,55
37,33
37,39
14,51
14,89
32,55
32,53
18,105
18,63
18,23
36,66
36,35
36,90
36,113
112,58
17,99
17,84
30,60
30,88
33,46
33,81
19,104
31,113
31,80
31,24
28,58
28,69
42,104
42,74
20,53
20,79
21,99
22,63
22,50
22,24
22,59
24,67
23,65
26,44
26,82
26,105
26,70
69,98
69,101
69,40
69,57
71,79
68,97
68,92
68,107
68,87
68,80
73,53
74,49
74,77
74,78
74,47
70,102
70,67
114,58
114,91
27,58
27,76
64,59
64,41
64,103
64,81
34,104
34,95
38,93
38,79
39,50
39,81
43,55
43,93
41,67
65,109
65,50
65,88
48,110
48,111
48,115
48,86
48,72
48,117
48,77
44,60
46,102
47,93
49,84
53,78
53,52
45,102
45,109
45,61
76,90
76,85
76,56
76,100
61,109
61,82
61,54
66,99
56,84
57,79
58,85
54,93
55,89
59,88
60,103
62,95
62,84
79,94
79,83
117,99
75,99
96,91
96,95
97,99
95,106
82,109
99,106
99,94
93,83
88,105
87,91
91,101
100,104
104,108
