node1,node2
57,90
57,39
90,21
90,79
90,88
90,93
90,102
39,72
39,101
39,28
39,112
39,30
59,11
59,66
11,45
11,24
11,60
11,17
66,115
66,108
66,22
66,79
66,71
48,3
48,49
48,35
3,15
3,94
3,65
49,110
49,95
49,87
35,40
35,98
35,83
44,47
44,91
44,58
44,62
44,107
44,2
44,86
47,76
91,113
58,4
62,41
107,16
2,41
86,16
25,33
25,92
25,84
25,67
25,116
33,69
92,113
84,10
67,10
116,69
16,32
16,101
16,21
16,88
27,94
27,15
27,42
27,64
94,103
15,99
42,6
42,5
64,6
64,104
0,41
0,114
41,109
41,112
41,1
114,19
114,71
114,1
114,40
115,4
4,53
4,43
4,75
4,111
4,51
89,13
13,31
13,80
13,55
13,96
13,82
13,68
13,74
13,14
45,38
38,24
38,22
38,70
38,60
38,72
19,18
18,29
18,97
18,28
18,34
63,61
63,6
63,8
61,98
61,73
61,85
6,7
8,110
8,73
8,87
37,117
37,56
117,81
117,78
117,93
117,97
56,110
56,46
56,23
56,17
52,65
52,83
52,73
52,36
65,50
83,50
36,54
36,106
70,76
46,69
69,53
69,12
7,103
7,99
108,10
81,10
10,74
10,109
10,34
10,111
99,5
99,20
87,50
76,77
76,29
76,102
40,104
32,113
113,30
113,75
77,26
26,78
26,14
26,12
26,105
104,95
104,20
95,5
20,50
5,9
103,100
103,98
100,54
100,9
105,106
43,106
106,23
106,51
9,85
9,54
85,54
