node1,node2
80,29
80,43
29,27
29,90
29,7
29,17
29,100
43,25
43,114
43,96
43,4
43,82
1,64
1,0
64,3
64,8
64,41
64,89
0,63
0,55
0,9
0,90
0,76
113,56
113,61
113,88
56,66
56,87
56,112
61,39
61,85
61,32
88,83
88,47
88,94
19,108
19,98
19,71
19,31
19,102
19,74
19,16
108,78
98,33
71,51
31,11
102,101
74,11
16,101
69,30
69,50
69,21
69,22
69,106
30,92
50,33
21,62
22,62
106,92
101,107
101,114
101,27
101,7
70,87
70,66
70,53
70,86
87,15
66,84
53,6
53,5
86,6
86,46
23,11
23,54
11,97
11,4
11,72
54,75
54,76
54,72
54,83
63,51
51,91
51,111
51,109
51,14
51,99
116,12
12,37
12,34
12,59
12,42
12,95
12,48
12,117
12,77
3,35
35,8
35,9
35,104
35,41
35,25
75,93
93,110
93,26
93,96
93,24
103,68
103,6
103,20
68,47
68,52
68,65
6,60
20,39
20,52
20,32
79,36
79,38
36,105
36,10
36,17
36,26
38,39
38,81
38,45
38,89
44,112
44,94
44,52
44,28
112,18
94,18
28,57
28,13
104,78
81,92
92,91
92,2
60,15
60,84
55,62
105,62
62,117
62,97
62,24
62,14
84,5
84,73
32,18
78,115
78,110
78,100
83,46
107,33
33,82
33,109
115,40
40,10
40,77
40,2
40,58
46,85
46,73
85,5
73,18
5,67
15,49
15,47
49,57
49,67
58,13
111,13
13,45
13,99
67,65
67,57
65,57
