node1,node2
6,15
6,94
15,113
94,12
69,112
69,46
112,86
46,44
75,1
75,8
75,58
1,107
1,91
8,26
8,52
58,99
58,110
114,116
114,95
114,48
114,117
114,21
114,34
114,37
116,37
116,21
116,48
116,34
116,95
116,42
95,117
95,37
95,21
95,48
95,59
95,42
48,117
48,37
48,21
48,34
48,59
48,42
117,42
117,21
117,37
21,59
34,37
34,59
34,42
100,27
100,102
100,7
100,24
100,98
27,23
27,24
27,102
27,108
102,98
102,72
102,105
7,98
7,55
7,72
7,59
24,96
24,108
24,55
98,55
98,96
66,71
66,70
71,11
70,85
89,17
89,110
89,115
89,9
17,82
17,110
17,4
110,82
115,23
115,41
115,79
9,82
9,31
9,41
101,78
101,60
78,36
60,92
39,38
39,65
38,47
65,32
90,18
90,109
18,88
109,107
109,3
5,32
5,50
50,33
99,14
99,76
14,104
14,77
76,106
76,92
43,13
43,19
13,74
47,51
82,81
4,45
4,2
4,25
0,77
42,59
44,97
106,22
106,107
55,72
55,105
96,2
96,105
96,108
31,81
31,63
31,23
41,45
41,25
68,88
68,73
73,40
74,30
74,104
30,91
30,3
91,16
3,93
81,63
81,45
63,2
63,25
23,25
36,53
72,108
72,105
28,53
28,67
67,57
86,35
35,85
20,87
20,62
87,52
54,103
54,10
103,84
10,83
45,2
104,16
26,22
26,16
22,79
113,84
108,105
40,29
97,49
49,80
93,56
83,61
61,111
56,80
79,111
33,64
57,64
