node1,node2
34,103
34,9
103,108
9,79
49,70
49,85
70,54
85,11
46,47
46,77
46,87
47,39
47,104
77,84
77,109
87,16
87,61
106,35
106,12
106,76
106,42
106,75
106,13
106,10
35,10
35,75
35,76
35,13
35,12
35,67
12,42
12,10
12,75
12,76
12,5
12,67
76,42
76,10
76,75
76,13
76,5
76,67
42,67
42,75
42,10
75,5
13,10
13,5
13,67
110,86
110,94
110,37
110,99
110,88
86,18
86,99
86,94
86,107
94,88
94,15
94,22
37,88
37,56
37,15
37,5
99,55
99,107
99,56
88,56
88,55
14,60
14,30
60,41
30,52
95,80
95,61
95,8
95,45
80,23
80,61
80,58
61,23
8,18
8,27
8,2
45,23
45,92
45,27
111,24
111,83
24,53
83,91
48,26
48,51
26,115
51,93
6,65
6,105
65,72
105,39
105,25
59,93
59,73
73,112
16,0
16,82
0,78
0,62
82,89
82,91
44,98
44,20
98,101
115,81
23,32
58,29
58,50
58,96
63,62
67,5
11,17
89,100
89,39
56,15
56,22
55,50
55,22
55,107
92,32
92,90
92,18
27,29
27,96
69,72
69,33
33,97
101,1
101,78
1,104
1,25
104,21
25,19
32,90
32,29
90,50
90,96
18,96
53,113
15,107
15,22
64,113
64,36
36,66
54,68
68,52
74,57
74,4
57,109
31,116
31,7
116,71
7,38
29,50
78,21
84,100
84,21
100,2
108,71
107,22
97,102
17,117
117,114
19,3
38,40
40,28
3,114
2,28
112,43
66,43
