node1,node2
23,115
23,98
115,106
98,48
2,108
2,25
108,9
25,79
112,49
112,113
112,28
49,87
49,50
113,65
113,114
28,83
28,70
19,51
19,62
19,12
19,43
19,29
19,35
19,101
51,101
51,29
51,12
51,35
51,62
51,11
62,43
62,101
62,29
62,12
62,0
62,11
12,43
12,101
12,29
12,35
12,0
12,11
43,11
43,29
43,101
29,0
35,101
35,0
35,11
54,78
54,36
54,38
54,92
54,5
78,6
78,92
78,36
78,44
36,5
36,33
36,40
38,5
38,93
38,33
38,0
92,13
92,44
92,93
5,93
5,13
73,71
73,82
71,116
82,99
68,64
68,70
68,46
68,53
64,69
64,70
64,18
70,69
46,6
46,84
46,32
53,69
53,20
53,84
63,31
63,97
31,91
97,34
74,104
74,90
104,8
90,30
102,55
102,60
55,27
60,87
60,61
110,30
110,7
7,107
83,52
83,85
52,77
52,96
85,39
85,34
47,17
47,42
17,94
8,117
69,88
18,15
18,56
18,67
95,96
11,0
79,75
39,66
39,87
93,33
93,40
13,56
13,40
13,44
20,88
20,57
20,6
84,15
84,67
59,27
59,76
76,105
94,103
94,77
103,50
103,61
50,86
61,3
88,57
88,15
57,56
57,67
6,67
91,22
33,44
33,40
45,22
45,41
41,26
9,14
14,99
72,1
72,21
1,114
24,89
24,100
89,4
100,16
15,56
77,86
65,66
65,86
66,32
106,4
44,40
105,37
75,58
58,80
3,10
16,81
81,111
10,80
32,111
107,109
26,109
