node1,node2
6,15
6,94
15,113
94,12
69,112
69,46
112,86
46,44
75,1
75,8
75,58
1,107
1,91
8,26
8,52
58,99
58,110
114,116
114,95
114,48
114,117
114,21
114,34
114,37
116,37
116,21
116,48
116,34
116,95
116,42
95,117
95,37
95,21
95,48
95,59
95,42
48,117
48,37
48,21
48,34
48,59
48,42
117,42
117,21
117,37
21,59
34,37
34,59
34,42
100,27
100,102
100,7
100,24
100,98
27,23
27,24
27,102
27,108
102,98
102,72
102,105
7,98
7,55
7,72
7,59
24,96
24,108
24,55
98,55
98,96
66,71
66,70
71,11
70,85
89,17
89,110
89,115
89,9
17,82
17,110
17,4
110,82
115,23
115,41
115,79
9,82
9,31
9,41
101,78
101,60
78,36
60,92
39,38
39,65
38,47
65,32
90,18
90,109
18,88
109,107
109,3
5,32
5,50
50,33
99,14
99,76
14,104
14,77
76,106
76,92
43,13
43,19
13,74
47,51
82,81
4,45
4,2
4,25
0,77
42,59
44,97
106,22
106,107
55,72
55,105
96,2
96,105
96,108
31,81
31,63
31,23
41,45
41,25
68,88
68,73
73,40
74,30
74,104
30,91
30,3
91,16
3,93
81,63
81,45
63,2
63,25
23,25
36,53
72,108
72,105
28,53
28,67
67,57
86,35
35,85
20,87
20,62
87,52
54,103
54,10
103,84
10,83
45,2
104,16
26,22
26,16
22,79
113,84
108,105
40,29
97,49
49,80
93,56
83,61
61,111
56,80
79,111
33,64
57,64
0,6
0,11
0,12
0,13
0,15
0,18
0,19
0,29
0,33
0,35
0,38
0,44
0,46
0,51
0,53
0,61
0,62
0,64
0,68
0,69
0,70
0,84
0,85
0,88
0,92
0,93
0,101
0,54
0,40
0,43
0,65
0,36
0,57
0,78
0,5
0,66
0,20
0,56
0,60
0,67
0,49
0,83
0,103
6,12
6,51
6,19
6,62
6,35
6,29
6,11
6,88
6,56
11,12
11,19
11,29
11,33
11,35
11,36
11,38
11,43
11,44
11,51
11,54
11,56
11,57
11,62
11,67
11,68
11,70
11,88
11,78
11,101
11,93
11,13
11,5
11,84
11,92
11,46
11,69
11,64
11,40
11,18
11,20
11,15
11,61
11,53
11,60
12,5
12,13
12,15
12,18
12,19
12,29
12,33
12,35
12,38
12,43
12,46
12,51
12,53
12,56
12,60
12,61
12,62
12,64
12,65
12,68
12,69
12,70
12,88
12,92
12,93
12,101
12,78
12,36
12,57
12,40
12,84
12,54
12,83
12,67
12,103
12,39
12,20
12,44
12,66
12,87
12,32
12,85
12,49
12,52
12,86
12,77
12,113
12,50
13,33
13,35
13,19
13,101
13,29
13,62
13,51
13,78
13,36
13,43
13,38
15,29
15,62
15,19
15,51
15,35
15,101
15,20
18,29
18,62
18,19
18,101
18,51
18,35
18,84
18,67
19,20
19,29
19,33
19,35
19,36
19,39
19,43
19,44
19,46
19,51
19,53
19,54
19,61
19,62
19,64
19,66
19,67
19,70
19,83
19,84
19,92
19,93
19,101
19,78
19,68
19,85
19,38
19,5
19,40
19,57
19,56
19,69
19,88
19,49
19,60
19,103
19,65
19,86
19,52
19,87
19,32
29,33
29,35
29,38
29,43
29,51
29,56
29,60
29,62
29,64
29,66
29,67
29,68
29,69
29,70
29,84
29,85
29,88
29,92
29,93
29,101
29,78
29,5
29,20
29,57
29,49
29,36
29,44
29,40
29,54
29,53
29,46
29,65
29,39
29,83
29,61
29,103
29,52
29,32
29,87
33,35
33,51
33,62
33,93
33,78
33,101
33,43
33,92
33,54
33,38
33,36
33,69
33,44
33,40
33,5
33,64
35,38
35,43
35,44
35,51
35,62
35,64
35,68
35,69
35,93
35,101
35,78
35,40
35,36
35,54
35,92
35,88
35,57
35,60
35,5
35,46
35,67
35,70
35,20
35,84
35,56
35,85
38,43
38,62
38,101
38,51
38,78
38,93
38,36
38,54
38,92
44,43
44,51
44,62
44,101
44,57
46,51
46,62
46,101
46,68
46,84
51,39
51,43
51,53
51,56
51,60
51,61
51,62
51,64
51,65
51,66
51,67
51,68
51,69
51,70
51,88
51,92
51,101
51,36
51,78
51,40
51,54
51,93
51,57
51,84
51,20
51,5
51,49
51,103
51,85
51,83
51,87
51,52
51,112
51,86
53,62
53,65
53,61
61,62
61,85
62,39
62,43
62,60
62,64
62,66
62,67
62,84
62,92
62,93
62,101
62,5
62,54
62,36
62,20
62,57
62,78
62,85
62,68
62,40
62,69
62,70
62,83
62,49
62,52
62,86
62,65
62,56
62,88
62,87
62,103
62,32
62,28
64,101
64,43
64,57
68,101
68,43
69,101
69,43
69,78
70,67
70,101
70,56
84,101
85,60
88,101
92,101
92,43
92,36
93,43
93,101
93,78
93,36
93,40
101,67
101,54
101,78
101,40
101,43
101,36
101,5
101,56
101,57
101,20
54,43
54,78
40,43
43,36
43,78
43,57
43,5
65,66
36,78
78,5
66,49
83,39
103,39
1,99
1,74
1,71
1,77
99,76
99,80
99,90
74,16
74,97
74,104
71,107
71,16
71,75
77,50
77,73
77,28
2,3
2,104
2,75
3,55
3,89
104,30
104,58
75,109
75,80
87,32
32,86
52,86
113,73
113,94
113,112
113,47
50,10
50,112
50,94
10,73
10,94
10,47
10,28
112,94
112,47
94,47
28,73
28,30
107,79
107,58
107,111
16,90
16,79
73,47
100,115
100,17
100,72
115,81
115,8
17,25
17,108
72,59
81,4
81,106
8,82
8,114
82,9
82,31
76,109
76,97
76,30
109,97
109,79
97,26
30,22
4,45
4,96
45,41
45,110
96,21
9,110
9,63
110,41
63,106
63,89
14,90
14,26
14,58
14,22
90,26
26,111
58,80
22,80
22,111
79,111
25,41
25,105
108,55
108,106
31,23
31,116
23,102
23,91
102,95
55,98
91,24
91,27
24,34
89,7
27,117
105,42
37,7
98,48
