node1,node2
103,18
103,31
18,10
31,10
31,0
10,95
10,96
10,87
10,93
10,66
0,61
0,96
0,64
0,107
95,64
96,61
96,62
87,75
93,41
107,78
107,9
62,75
78,89
9,41
9,23
9,52
41,75
41,97
41,3
41,44
23,7
52,76
52,51
75,50
75,11
50,76
11,3
11,8
11,84
76,8
76,34
76,115
76,5
97,80
44,4
44,80
8,65
8,73
84,90
80,59
80,39
80,70
4,88
65,34
73,20
90,111
111,59
59,7
59,2
7,39
2,106
2,37
39,38
39,88
70,38
106,54
106,74
106,15
106,56
37,56
54,12
54,68
54,35
54,15
54,110
74,15
15,110
15,92
56,114
51,67
51,46
51,35
115,5
5,30
5,6
20,83
30,6
6,12
67,33
67,69
46,12
46,22
46,43
35,21
35,113
12,83
12,68
12,45
12,91
12,28
12,40
83,58
68,58
45,58
91,16
28,42
28,116
40,27
40,101
40,32
40,98
110,72
110,26
110,48
110,1
22,57
22,33
22,43
16,98
42,98
116,27
101,32
101,98
101,57
101,33
101,69
32,98
57,33
21,48
48,14
48,81
48,25
48,49
48,86
92,72
26,14
1,60
1,86
81,86
25,19
49,19
86,109
86,99
60,36
60,13
19,105
19,109
19,17
19,117
19,102
19,112
109,105
109,47
109,99
36,13
13,71
13,94
13,55
71,55
71,53
71,105
94,24
53,79
105,79
105,29
105,47
29,17
117,104
117,82
117,102
102,104
112,104
112,63
104,63
104,85
82,108
82,100
82,77
85,108
