node1,node2
59,1
59,83
1,51
83,51
83,92
51,109
51,20
51,63
51,30
51,116
92,110
92,20
92,7
92,113
109,7
20,110
20,74
63,78
30,35
113,8
113,88
74,78
8,37
88,35
88,25
88,60
35,78
35,41
35,17
35,49
25,65
60,11
60,84
78,99
78,68
99,11
68,17
68,56
68,16
11,56
11,105
11,26
11,64
41,13
49,82
49,13
56,28
56,42
16,79
13,46
13,40
13,71
82,27
28,105
42,47
79,72
72,46
46,65
46,73
65,40
73,38
73,9
40,91
40,27
71,91
38,43
38,2
38,5
38,66
9,66
43,12
43,10
43,67
43,5
43,0
2,5
5,0
5,117
66,21
84,86
84,18
84,67
26,64
64,22
64,112
47,87
22,112
112,12
86,70
86,75
18,12
18,15
18,76
67,81
67,34
12,87
12,10
12,80
12,45
12,61
12,54
87,77
10,77
80,77
45,115
61,31
61,14
54,104
54,101
54,39
54,69
0,102
0,111
0,19
0,53
15,103
15,70
15,76
115,69
31,69
14,104
101,39
101,69
101,103
101,70
101,75
39,69
103,70
81,19
19,3
19,96
19,97
19,98
19,44
117,102
111,3
53,52
53,44
96,44
97,62
98,62
44,36
44,55
52,58
52,93
62,29
62,36
62,100
62,57
62,32
62,94
36,29
36,50
36,55
58,93
93,85
93,23
93,24
85,24
85,89
85,29
23,114
89,90
29,90
29,4
29,50
4,100
57,33
57,6
57,32
32,33
94,33
94,106
33,106
33,107
6,108
6,95
6,48
107,108
