node1,node2
103,18
103,31
18,10
31,10
31,0
10,95
10,96
10,87
10,93
10,66
0,61
0,96
0,64
0,107
95,64
96,61
96,62
87,75
93,41
107,78
107,9
62,75
78,89
9,41
9,23
9,52
41,75
41,97
41,3
41,44
23,7
52,76
52,51
75,50
75,11
50,76
11,3
11,8
11,84
76,8
76,34
76,115
76,5
97,80
44,4
44,80
8,65
8,73
84,90
80,59
80,39
80,70
4,88
65,34
73,20
90,111
111,59
59,7
59,2
7,39
2,106
2,37
39,38
39,88
70,38
106,54
106,74
106,15
106,56
37,56
54,12
54,68
54,35
54,15
54,110
74,15
15,110
15,92
56,114
51,67
51,46
51,35
115,5
5,30
5,6
20,83
30,6
6,12
67,33
67,69
46,12
46,22
46,43
35,21
35,113
12,83
12,68
12,45
12,91
12,28
12,40
83,58
68,58
45,58
91,16
28,42
28,116
40,27
40,101
40,32
40,98
110,72
110,26
110,48
110,1
22,57
22,33
22,43
16,98
42,98
116,27
101,32
101,98
101,57
101,33
101,69
32,98
57,33
21,48
48,14
48,81
48,25
48,49
48,86
92,72
26,14
1,60
1,86
81,86
25,19
49,19
86,109
86,99
60,36
60,13
19,105
19,109
19,17
19,117
19,102
19,112
109,105
109,47
109,99
36,13
13,71
13,94
13,55
71,55
71,53
71,105
94,24
53,79
105,79
105,29
105,47
29,17
117,104
117,82
117,102
102,104
112,104
112,63
104,63
104,85
82,108
82,100
82,77
85,108
0,1
0,2
0,6
0,11
0,12
0,13
0,15
0,18
0,19
0,29
0,33
0,35
0,38
0,39
0,44
0,46
0,50
0,51
0,53
0,61
0,62
0,64
0,65
0,67
0,68
0,69
0,70
0,71
0,73
0,83
0,84
0,85
0,86
0,87
0,88
0,92
0,93
0,94
0,100
0,101
0,103
0,112
0,115
1,51
1,19
1,43
2,19
2,101
6,33
6,35
6,101
6,51
6,11
6,12
6,19
6,29
6,62
11,8
11,12
11,13
11,15
11,18
11,19
11,20
11,29
11,33
11,35
11,36
11,38
11,43
11,44
11,46
11,49
11,51
11,54
11,56
11,57
11,60
11,61
11,62
11,64
11,66
11,67
11,68
11,69
11,70
11,76
11,85
11,87
11,88
11,93
11,103
12,4
12,5
12,8
12,9
12,10
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,28
12,29
12,31
12,33
12,35
12,38
12,41
12,43
12,44
12,46
12,51
12,52
12,53
12,56
12,60
12,61
12,62
12,64
12,65
12,68
12,69
12,70
12,73
12,77
12,84
12,87
12,88
12,92
12,93
12,96
12,97
12,101
12,102
12,103
12,108
12,115
13,5
13,33
13,35
13,38
13,43
13,18
13,19
13,101
13,29
13,62
13,51
15,33
15,35
15,38
15,51
15,21
15,29
15,62
18,5
18,33
18,38
18,103
18,51
18,29
18,62
19,17
19,20
19,23
19,24
19,28
19,29
19,33
19,35
19,36
19,39
19,43
19,44
19,46
19,51
19,52
19,53
19,54
19,60
19,61
19,62
19,63
19,64
19,65
19,66
19,67
19,69
19,70
19,73
