node1,node2
1110,379762
1110,1258429
1110,319557
1110,918573
77742,535428
486543,1567862
486543,1503898
486543,1331495
486543,615569
486543,436502
1056717,165380
1056717,840189
1056717,382836
1056717,1585441
1216765,71989
1216765,406295
1216765,1292614
1216765,82530
1197,1466107
1197,325827
1197,1564452
1197,944246
330558,379762
330558,1028204
330558,1141127
330558,165380
709062,576402
709062,1325546
709062,879060
709062,1097459
709062,586759
709062,1481820
709062,310838
709062,1052244
709062,200618
709062,948796
709062,1537687
803811,883275
803811,122853
803811,1007050
1398597,71989
1398597,354107
1398597,1476233
1398597,854884
1335,623205
1335,1457431
1335,1153693
1335,25311
1335,829476
1335,1562332
1335,759436
1335,1464670
1335,1039435
1335,194364
1335,743264
1335,643211
1335,1120366
1335,1524487
1335,761643
1335,1134881
1335,1443679
1335,851839
1335,1222728
1335,1203786
1335,1001630
1335,396051
1335,297922
1335,1002028
1335,414940
1335,606884
1335,804417
1335,201962
1335,1159182
1335,634846
1335,326059
1335,1392537
1335,1216396
1335,796378
111490,388005
111490,1387166
111490,1074817
111490,490888
111490,419962
111490,741004
111490,897138
111490,454804
111490,917178
111490,915880
111490,1363905
111490,533663
111490,1006830
111490,1499394
111490,34483
111490,670079
111490,1448192
111490,245163
111490,910700
111490,325021
111490,833853
111490,1420433
111490,415090
111490,923484
111490,331969
111490,26162
111490,74604
111490,341715
111490,989594
111490,431199
111490,1234329
111490,624371
111490,490943
111490,1324672
111490,252722
111490,205917
111490,70257
111490,943085
117223,498616
117223,918459
117223,997553
117223,544682
117223,122019
117223,1124015
117223,1562858
117223,387347
117223,1079035
117223,1535313
117223,813105
117223,1588926
117223,170520
117223,678923
117223,257369
117223,1131972
117223,1400726
117223,378808
117223,11058
117223,63928
117223,574800
117223,1415915
117223,1548548
134231,340760
134231,845124
134231,1012952
134231,973229
134231,93231
134231,203909
134231,1496697
134231,777095
134231,960630
134231,1209127
134231,949613
134231,604273
134231,162790
134231,1500101
134231,211625
134231,532165
134231,1055587
134231,243354
134231,545299
134231,1126195
134231,185520
134231,1351962
134231,630242
134231,986798
134231,1498748
134231,1202066
134231,647594
134231,666206
134231,1162403
134231,6067
134231,195710
134231,1191355
134231,461391
134231,1351437
134231,194966
134231,1319705
134231,1005591
134231,977489
134231,156212
134231,811767
134231,1487844
134231,611590
134231,176972
134231,1555232
134231,1335213
134231,906491
297872,70163
297872,1110493
297872,1313986
297872,865203
297872,200434
297872,78091
297872,947031
297872,965097
297872,1526238
297872,10922
297872,883537
297872,54825
297872,1322834
297872,602700
297872,750470
297872,1450897
297872,310290
297872,1266507
297872,664251
297872,1005437
297872,1106081
304303,1371136
304303,260495
304303,793501
304303,843994
304303,12990
304303,450237
304303,556141
304303,130839
304303,1332884
304303,51101
304303,548562
304303,830075
304303,1495618
304303,526031
304303,1271737
304303,1482248
304303,1539792
304303,1317619
304303,527478
304303,1178696
364689,612589
364689,468192
364689,836524
364689,10332
364689,1132234
364689,1306257
364689,957108
364689,466706
364689,234772
364689,613914
364689,1503120
364689,785719
364689,1587482
364689,465812
364689,1439178
364689,20978
364689,350965
443390,882759
443390,1427607
443390,1045512
443390,1114861
443390,377758
443390,1579057
443390,572366
443390,61366
443390,129957
443390,824869
443390,744868
443390,941521
443390,352043
443390,1270737
443390,193822
443390,992831
443390,1513154
443390,832129
443390,1327980
443390,684951
443390,437381
443390,456846
443390,623227
443390,1587708
443390,1400239
443390,1175967
443390,934764
443390,1165761
443390,1222957
443390,1481600
443390,1487823
443390,426994
443390,40925
492364,1161077
492364,379894
492364,1174506
492364,85745
492364,478614
492364,745392
492364,587575
492364,576448
492364,187498
492364,1415090
492364,249646
492364,1336153
492364,71940
492364,1532827
492364,336954
492364,1499394
492364,1422696
492364,1341759
492364,1544428
492364,1550245
492364,263625
492364,56559
492364,434463
492364,219969
492364,1009142
492364,582641
492364,929577
492364,1578609
492364,755522
492364,377380
492364,1205580
492364,790935
492364,663246
498159,1250059
498159,360141
498159,57004
498159,1519536
498159,365909
498159,711437
498159,909250
498159,964828
498159,932903
498159,1393520
498159,110329
498159,250740
498159,857696
498159,667630
498159,664251
498159,1560012
498159,154716
498159,1152740
498159,1061686
498159,498616
498159,371874
