node1,node2
1110,1148869
1110,305959
1110,643444
1110,518683
77742,50329
486543,71147
486543,255571
486543,416126
486543,1099750
486543,134549
1056717,1450897
1056717,1319768
1056717,1519498
1056717,1207324
1216765,435965
1216765,1538368
1216765,450237
1216765,1570634
1197,1226348
1197,1148646
1197,1521623
1197,792951
330558,1368531
330558,1496246
330558,1042997
330558,1412656
709062,1351840
709062,512097
709062,733228
709062,183368
709062,77686
709062,1419451
709062,246654
709062,204906
709062,598288
709062,264496
709062,1200643
803811,490956
803811,1031404
803811,174520
1398597,1010045
1398597,834825
1398597,736319
1398597,553053
1335,1339474
1335,804991
1335,1499403
1335,580906
1335,1341525
1335,736671
1335,499454
1335,443390
1335,781666
1335,567054
1335,284135
1335,976963
1335,1046888
1335,625243
1335,247934
1335,1413579
1335,395566
1335,474656
1335,815213
1335,290801
1335,746130
1335,485354
1335,46494
1335,612565
1335,535428
1335,175513
1335,996197
1335,75936
1335,503051
1335,820906
1335,226854
1335,248505
1335,1292886
1335,588861
111490,1379246
111490,1292886
111490,1413579
111490,1388111
111490,266195
111490,368163
111490,256671
111490,733816
111490,1129772
111490,535428
111490,1422026
111490,1551084
111490,265970
111490,1482802
111490,240621
111490,820906
111490,1203522
111490,592526
111490,247934
111490,277913
111490,290801
111490,395566
111490,1486568
111490,269784
111490,1499403
111490,134231
111490,1341525
111490,11854
111490,536119
111490,962111
111490,1025998
111490,1396273
111490,485354
111490,1338486
111490,804991
111490,736671
111490,1053503
111490,675035
117223,516803
117223,1359217
117223,448071
117223,1537917
117223,579622
117223,389055
117223,863340
117223,1487754
117223,1360494
117223,1455914
117223,585183
117223,1135279
117223,554949
117223,883275
117223,199766
117223,612386
117223,715607
117223,545075
117223,1241472
117223,1007050
117223,1346236
117223,1175615
117223,1146144
134231,1234820
134231,804991
134231,733816
134231,592526
134231,820906
134231,535428
134231,269784
134231,1396273
134231,266195
134231,240621
134231,485354
134231,623579
134231,693740
134231,736671
134231,1129772
134231,265970
134231,976963
134231,1388111
134231,368163
134231,1451178
134231,247934
134231,536119
134231,1341525
134231,1292886
134231,1551084
134231,290801
134231,277913
134231,395566
134231,11854
134231,1499403
134231,732094
134231,1422026
134231,962111
134231,1236499
134231,801705
134231,235454
134231,1338486
134231,1413579
134231,459610
134231,675035
134231,248505
134231,1053503
134231,1482802
134231,1203522
134231,256671
297872,382836
297872,257250
297872,699212
297872,653544
297872,944246
297872,264593
297872,1006458
297872,89941
297872,123372
297872,964323
297872,1416131
297872,989005
297872,330434
297872,887548
297872,585183
297872,1420987
297872,768325
297872,1209831
297872,892441
297872,951149
297872,1018063
304303,354616
304303,1219478
304303,1518962
304303,325827
304303,964323
304303,918573
304303,553916
304303,854884
304303,257250
304303,1223613
304303,518250
304303,1227617
304303,902245
304303,1466107
304303,544269
304303,1339675
304303,1476360
304303,1306181
304303,944246
304303,1018063
364689,1491295
364689,974891
364689,1009157
364689,869232
364689,1438224
364689,140424
364689,1191476
364689,1197546
364689,1344369
364689,351932
364689,736047
364689,2237
364689,216405
364689,109085
364689,1092326
364689,1350904
364689,1331495
443390,1496225
443390,248616
443390,945424
443390,781666
443390,459610
443390,75936
443390,284135
443390,156665
443390,1041716
443390,1262219
443390,226854
443390,499454
443390,1379246
443390,886616
443390,492364
443390,1046888
443390,1436707
443390,46494
443390,479047
443390,815213
443390,1156662
443390,1025998
443390,474656
443390,242972
443390,1234378
443390,337431
443390,1339474
443390,801705
443390,625243
443390,667166
443390,798202
443390,567054
492364,284135
492364,744364
492364,46494
492364,1496225
492364,474656
492364,996197
492364,503051
492364,337431
492364,410266
492364,1413579
492364,1551084
492364,75936
492364,479047
492364,175513
492364,499454
492364,1511370
492364,1017907
492364,1558275
492364,1203522
492364,156665
492364,588861
492364,248616
492364,746130
492364,1301553
492364,1234378
492364,1356292
492364,815213
492364,1156662
492364,1041716
492364,675035
492364,1110503
492364,18384
498159,500779
498159,351154
498159,1165757
498159,337779
498159,524083
498159,963571
498159,1123862
498159,389055
498159,357866
498159,1261231
498159,1554715
498159,494068
498159,766014
498159,15355
498159,231190
498159,237043
498159,761246
498159,710986
498159,406832
498159,77968
498159,1394242
498159,438893
498159,420908
498159,974314
498159,1440786
498159,1439677
536082,152709
536082,874903
536082,728954
536082,1550569
536082,1093800
536082,320116
536082,169171
536082,466123
536082,29239
536082,445704
536082,175513
536082,726480
536082,71442
536082,774135
536082,1542031
536082,1133462
536082,823144
536082,906660
536082,886616
536082,1041796
536082,1123862
536082,1439847
536082,1497061
536082,59297
536082,393000
536082,1364337
536082,1087507
536082,756614
536082,231190
592095,1227617
592095,1127959
592095,165380
592095,1381777
592095,468232
592095,649512
592095,776634
592095,1413209
592095,1464968
592095,467052
592095,1258429
592095,267767
592095,303837
592095,1420317
592095,1344119
592095,430618
592095,1518962
592095,71989
592095,576934
761339,612386
761339,554949
761339,390983
761339,1455914
761339,1346236
761339,585183
