network,node1,node2
0.0,1110,1148869
0.0,1110,305959
0.0,1110,643444
0.0,1110,518683
0.0,1148869,747083
0.0,1148869,879850
0.0,1148869,470012
0.0,305959,1082927
0.0,305959,109570
0.0,305959,535750
0.0,643444,937070
0.0,643444,783661
0.0,643444,1006458
0.0,518683,721304
0.0,518683,1049864
0.0,518683,763575
0.0,77742,50329
0.0,50329,503523
0.0,486543,71147
0.0,486543,255571
0.0,486543,416126
0.0,486543,1099750
0.0,486543,134549
0.0,71147,1539249
0.0,71147,1177552
0.0,71147,1573885
0.0,71147,1426457
0.0,255571,114802
0.0,255571,565197
0.0,255571,665886
0.0,255571,1406682
0.0,416126,5065
0.0,416126,57166
0.0,416126,1450847
0.0,416126,159858
0.0,1099750,810837
0.0,1099750,800882
0.0,1099750,569509
0.0,1099750,536822
0.0,134549,739293
0.0,134549,1296060
0.0,134549,1016909
0.0,134549,775163
0.0,436502,1450897
0.0,436502,1319768
0.0,436502,1519498
0.0,436502,1207324
0.0,1450897,827609
0.0,1450897,515406
0.0,1450897,163653
0.0,1319768,1548892
0.0,1319768,1476386
0.0,1319768,326993
0.0,1519498,461118
0.0,1519498,1340752
0.0,1207324,162614
0.0,1207324,845633
0.0,33375,435965
0.0,33375,1538368
0.0,33375,450237
0.0,33375,1570634
0.0,435965,1184943
0.0,435965,1529238
0.0,435965,1234194
0.0,1538368,1182247
0.0,1538368,130421
0.0,1538368,758849
0.0,450237,1016611
0.0,450237,1177782
0.0,450237,942709
0.0,1570634,603547
0.0,1570634,723588
0.0,1197,1226348
0.0,1197,1148646
0.0,1197,1521623
0.0,1197,1001931
0.0,1226348,1508586
0.0,1226348,1410762
0.0,1226348,1575101
0.0,1148646,571176
0.0,1148646,1018764
0.0,1148646,232647
0.0,1521623,487924
0.0,1521623,1545708
0.0,1001931,1095542
0.0,1001931,1233619
0.0,330558,1368531
0.0,330558,1496246
0.0,330558,1042997
0.0,330558,1412656
0.0,1368531,879703
0.0,1368531,305390
0.0,1368531,291076
0.0,1496246,41833
0.0,1496246,123897
0.0,1042997,572763
0.0,1042997,1357719
0.0,1412656,649550
0.0,1412656,962571
0.0,709062,1351840
0.0,709062,512097
0.0,709062,733228
0.0,709062,816716
0.0,709062,77686
0.0,709062,1419451
0.0,709062,200352
0.0,709062,204906
0.0,709062,598288
0.0,709062,264496
0.0,709062,1200643
0.0,1351840,1114229
0.0,1351840,1419451
0.0,1351840,1061290
0.0,1351840,974891
0.0,1351840,606914
0.0,1351840,1174129
0.0,1351840,142897
0.0,1351840,1336876
0.0,1351840,1450792
0.0,1351840,1085972
0.0,512097,1069293
0.0,512097,723332
0.0,512097,974891
0.0,512097,578682
0.0,512097,116669
0.0,512097,1020009
0.0,512097,1026616
0.0,512097,585183
0.0,512097,124719
0.0,512097,205728
0.0,733228,744429
0.0,733228,1363869
0.0,733228,1085972
0.0,733228,161830
0.0,733228,88873
0.0,733228,201203
0.0,733228,1213450
0.0,733228,1008519
0.0,733228,1450792
0.0,733228,1078045
0.0,816716,288204
0.0,816716,465256
0.0,816716,1252123
