node1,node2,network
1110,379762,0
1110,1258429,0
1110,319557,0
1110,918573,0
77742,535428,0
486543,1567862,0
486543,1503898,0
486543,1331495,0
486543,615569,0
486543,436502,0
1056717,165380,0
1056717,840189,0
1056717,382836,0
1056717,1585441,0
1216765,71989,0
1216765,406295,0
1216765,1292614,0
1216765,82530,0
1197,1466107,0
1197,325827,0
1197,1564452,0
1197,944246,0
330558,379762,0
330558,1028204,0
330558,1141127,0
330558,165380,0
709062,576402,0
709062,1325546,0
709062,879060,0
709062,1097459,0
709062,586759,0
709062,1481820,0
709062,310838,0
709062,1052244,0
709062,200618,0
709062,948796,0
709062,1537687,0
803811,883275,0
803811,122853,0
803811,1007050,0
1398597,71989,0
1398597,354107,0
1398597,1476233,0
1398597,854884,0
1335,623205,0
1335,1457431,0
1335,1153693,0
1335,25311,0
1335,829476,0
1335,1562332,0
1335,759436,0
1335,1464670,0
1335,1039435,0
1335,194364,0
1335,743264,0
1335,643211,0
1335,1120366,0
1335,1524487,0
1335,761643,0
1335,1134881,0
1335,1443679,0
1335,851839,0
1335,1222728,0
1335,1203786,0
1335,1001630,0
1335,396051,0
1335,297922,0
1335,1002028,0
1335,414940,0
1335,606884,0
1335,804417,0
1335,201962,0
1335,1159182,0
1335,634846,0
1335,326059,0
1335,1392537,0
1335,1216396,0
1335,796378,0
111490,388005,0
111490,1387166,0
111490,1074817,0
111490,490888,0
111490,419962,0
111490,741004,0
111490,897138,0
111490,454804,0
111490,917178,0
111490,915880,0
111490,1363905,0
111490,533663,0
111490,1006830,0
111490,1499394,0
111490,34483,0
111490,670079,0
111490,1448192,0
111490,245163,0
111490,910700,0
111490,325021,0
111490,833853,0
111490,1420433,0
111490,415090,0
111490,923484,0
111490,331969,0
111490,26162,0
111490,74604,0
111490,341715,0
111490,989594,0
111490,431199,0
111490,1234329,0
111490,624371,0
111490,490943,0
111490,1324672,0
111490,252722,0
111490,205917,0
111490,70257,0
111490,943085,0
117223,498616,0
117223,918459,0
117223,997553,0
117223,544682,0
117223,122019,0
117223,1124015,0
117223,1562858,0
117223,387347,0
117223,1079035,0
117223,1535313,0
117223,813105,0
117223,1588926,0
117223,170520,0
117223,678923,0
117223,257369,0
117223,1131972,0
117223,1400726,0
117223,378808,0
117223,11058,0
117223,63928,0
117223,574800,0
117223,1415915,0
117223,1548548,0
134231,340760,0
134231,845124,0
134231,1012952,0
134231,973229,0
134231,93231,0
134231,203909,0
134231,1496697,0
134231,777095,0
134231,960630,0
134231,1209127,0
134231,949613,0
134231,604273,0
134231,162790,0
134231,1500101,0
134231,211625,0
134231,532165,0
134231,1055587,0
134231,243354,0
134231,545299,0
134231,1126195,0
134231,185520,0
134231,1351962,0
134231,630242,0
134231,986798,0
134231,1498748,0
134231,1202066,0
134231,647594,0
134231,666206,0
134231,1162403,0
134231,6067,0
134231,195710,0
134231,1191355,0
134231,461391,0
134231,1351437,0
134231,194966,0
134231,1319705,0
134231,1005591,0
134231,977489,0
134231,156212,0
134231,811767,0
134231,1487844,0
134231,611590,0
134231,176972,0
134231,1555232,0
134231,1335213,0
134231,906491,0
297872,70163,0
297872,1110493,0
297872,1313986,0
297872,865203,0
297872,200434,0
297872,78091,0
297872,947031,0
297872,965097,0
297872,1526238,0
297872,10922,0
297872,883537,0
297872,54825,0
297872,1322834,0
297872,602700,0
297872,750470,0
297872,1450897,0
297872,310290,0
297872,1266507,0
297872,664251,0
297872,1005437,0
297872,1106081,0
304303,1371136,0
304303,260495,0
304303,793501,0
304303,843994,0
304303,12990,0
304303,450237,0
304303,556141,0
304303,130839,0
304303,1332884,0
304303,51101,0
304303,548562,0
304303,830075,0
304303,1495618,0
304303,526031,0
304303,1271737,0
304303,1482248,0
304303,1539792,0
304303,1317619,0
304303,527478,0
304303,1178696,0
