node1,node2,network
275,828097,1
275,516706,1
275,477665,1
275,1313514,1
275,471404,1
275,1281698,1
275,1152664,1
58341,677600,1
58341,1327347,1
58341,1374428,1
194846,1329145,1
194846,1289344,1
194846,1033464,1
194846,1582716,1
194846,179604,1
194846,715923,1
194846,808752,1
194846,950224,1
194846,600716,1
214708,786974,1
214708,39543,1
214708,658758,1
214708,902149,1
214708,1349636,1
214708,605240,1
214708,662271,1
214708,1486027,1
214708,1477479,1
338137,867264,1
338137,239188,1
338137,181525,1
338137,1116059,1
338137,667688,1
338137,500175,1
338137,1033312,1
338137,1093800,1
471254,1072189,1
471254,1065888,1
675137,1293062,1
675137,109443,1
675137,1479641,1
675137,878519,1
675137,379882,1
675137,827209,1
675137,1006458,1
675137,579622,1
1349605,1016461,1
1349605,899132,1
1349605,1213450,1
1349605,229045,1
1349605,276625,1
1349605,664439,1
1349605,1527938,1
1349605,832181,1
1349605,194876,1
1349605,657875,1
1349605,1315610,1
1349605,939117,1
1349605,1559535,1
1349605,948796,1
728,618955,1
728,688219,1
728,1369668,1
728,61511,1
728,916102,1
728,1037995,1
728,735087,1
728,866864,1
728,1123035,1
341626,1239787,1
341626,300943,1
341626,762266,1
341626,453531,1
341626,514404,1
341626,514277,1
341626,500779,1
341626,1465186,1
550951,540371,1
550951,1039544,1
550951,292138,1
550951,1244385,1
550951,274728,1
550951,396501,1
550951,821338,1
550951,217209,1
550951,148315,1
550951,1001001,1
550951,1442469,1
550951,80774,1
550951,1409344,1
550951,473191,1
550951,81288,1
550951,629112,1
550951,230425,1
550951,1326747,1
550951,33387,1
550951,444859,1
550951,1425326,1
550951,1179673,1
550951,1175193,1
744577,8718,1
744577,1147201,1
876522,84899,1
876522,765428,1
876522,306240,1
876522,790130,1
876522,419142,1
876522,364786,1
876522,896055,1
876522,61114,1
964328,867304,1
964328,431866,1
991291,70448,1
991291,737385,1
991291,1517512,1
991291,848099,1
991291,538604,1
991291,1303729,1
991291,268928,1
991291,469141,1
991291,1401087,1
991291,929804,1
991291,725106,1
991291,861702,1
991291,1130768,1
991291,1003078,1
991291,1084938,1
991291,1473401,1
991291,1458460,1
991291,306412,1
991291,451596,1
991291,301862,1
991291,1174238,1
991291,671672,1
991291,353959,1
1019001,1313514,1
1019001,1440388,1
1019001,450009,1
1019001,390852,1
1019001,937070,1
1019001,1050633,1
1019001,749101,1
1019001,736769,1
1117006,987150,1
1117006,1510826,1
1117006,1229732,1
1117006,624191,1
1117006,1285825,1
1505796,1505796,1
1505796,1061894,1
1505796,802252,1
1505796,619315,1
958,530386,1
958,1223460,1
958,1564137,1
958,848139,1
481969,585183,1
481969,908093,1
481969,575549,1
481969,677951,1
481969,1522587,1
481969,638890,1
481969,509864,1
481969,281044,1
481969,337533,1
481969,1560646,1
481969,1508359,1
481969,343729,1
481969,943172,1
481969,9976,1
481969,1048814,1
834191,126204,1
834191,1089785,1
834191,1365434,1
834191,90645,1
960955,1385815,1
960955,1168858,1
960955,705065,1
960955,204912,1
1411697,968037,1
1411697,1327347,1
1411697,417311,1
1534,770864,1
1534,1554963,1
1534,695864,1
62893,275205,1
62893,277197,1
62893,151165,1
62893,323161,1
62893,1409740,1
916102,351736,1
916102,477665,1
916102,1300718,1
916102,539552,1
916102,1401269,1
916102,1549839,1
1051536,1210344,1
1589,194682,1
801369,861305,1
801369,1100731,1
801369,496017,1
801369,197010,1
801369,1260883,1
801369,594206,1
801369,680467,1
1677,631213,1
1677,1289168,1
242356,684141,1
242356,96635,1
242356,958069,1
242356,173055,1
242356,1338500,1
242356,214338,1
242356,84291,1
242356,704870,1
242356,175433,1
242356,551127,1
242356,820561,1
242356,535107,1
1695,920870,1
1695,612183,1
1695,677600,1
219505,1485906,1
219505,937070,1
219505,232919,1
219505,1208104,1
219505,1456079,1
219505,594551,1
219505,873913,1
1419615,726305,1
1419615,123503,1
1419615,820526,1
1720,1223329,1
1720,1351075,1
1720,1533665,1
1720,959113,1
1720,896752,1
1720,189725,1
1720,871557,1
1720,582100,1
29270,1351758,1
189019,1295679,1
189019,393508,1
505627,276724,1
505627,1351115,1
505627,824423,1
505627,792951,1
505627,100642,1
505627,1394480,1
505627,291914,1
505627,451191,1
505627,541603,1
505627,1438630,1
505627,828544,1
505627,85173,1
505627,645479,1
505627,123394,1
505627,239625,1
505627,1082202,1
505627,1574415,1
505627,511249,1
505627,662976,1
505627,723895,1
505627,1088084,1
505627,1302613,1
505627,1047284,1
505627,20978,1
505627,1002156,1
505627,670291,1
505627,358275,1
505627,49821,1
505627,1187706,1
505627,244613,1
505627,172042,1
905498,1517016,1
905498,228754,1
905498,1303415,1
905498,1582716,1
905498,1272332,1
905498,588334,1
905498,453089,1
905498,1568837,1
905498,642177,1
1137982,1041447,1
1137982,830933,1
1137982,180916,1
1137982,527605,1
1137982,372509,1
1137982,234696,1
1137982,1230759,1
1137982,1383765,1
1137982,209898,1
1137982,1518236,1
1137982,1089191,1
1137982,1470131,1
1137982,220951,1
1137982,1496927,1
1137982,1358745,1
1276154,752642,1
1276154,1033464,1
1276154,981295,1
1276154,984927,1
1276154,389079,1
1276154,351964,1
1276154,979516,1
1276154,1424210,1
1276154,687008,1
1276154,591017,1
1930,1305752,1
1930,649626,1
152643,152643,1
152643,479047,1
152643,1340074,1
320803,320803,1
320803,1194092,1
320803,1358251,1
320803,135720,1
320803,1373735,1
320803,617185,1
320803,1244124,1
320803,849018,1
320803,639091,1
320803,685309,1
320803,381020,1
320803,1011028,1
320803,1264374,1
320803,214384,1
320803,349285,1
320803,354706,1
320803,227087,1
320803,466225,1
320803,1491467,1
1985,62237,1
1020342,720419,1
1020342,1072498,1
2237,155323,1
2237,1246126,1
2237,1058140,1
2237,224148,1
2237,344488,1
2237,123550,1
2237,434348,1
569305,677600,1
569305,1582871,1
569305,1154444,1
720388,827034,1
720388,387647,1
720388,624191,1
720388,424017,1
720388,680832,1
937070,1278010,1
937070,26929,1
937070,554747,1
937070,652633,1
937070,848651,1
937070,1066673,1
1254924,1201920,1
1254924,979765,1
1254924,950462,1
1254924,897348,1
1422026,1422026,1
1422026,1012575,1
1422026,1135871,1
1422026,626522,1
1422026,420908,1
1422026,1368851,1
1422026,873775,1
1422026,276826,1
1422026,958051,1
1422026,49161,1
1422026,527605,1
1422026,1318629,1
1422026,61301,1
1422026,1418585,1
1422026,1429869,1
2848,1223005,1
2848,1178409,1
2848,514789,1
2848,825532,1
319468,229543,1
319468,357691,1
319468,176344,1
319468,857734,1
319468,1358251,1
319468,853572,1
319468,711452,1
319468,1356596,1
