node1,node2,network
275,300307,1
275,1282787,1
275,1123357,1
275,198561,1
275,541437,1
275,662548,1
275,1080671,1
58341,575549,1
58341,98863,1
58341,471254,1
194846,1138493,1
194846,525041,1
194846,790399,1
194846,1560613,1
194846,1253529,1
194846,382724,1
194846,390983,1
194846,1557910,1
194846,778619,1
214708,1058140,1
214708,1518575,1
214708,1244175,1
214708,1035952,1
214708,506547,1
214708,1557910,1
214708,1456079,1
214708,28813,1
214708,1100731,1
338137,1326822,1
338137,863998,1
338137,590246,1
338137,349986,1
338137,31566,1
338137,736769,1
338137,968394,1
338137,1098477,1
471254,423179,1
675137,165793,1
675137,945033,1
675137,164863,1
675137,724732,1
675137,1019001,1
675137,813579,1
675137,514404,1
675137,699201,1
1349605,849784,1
1349605,1295999,1
1349605,1223005,1
1349605,601677,1
1349605,979765,1
1349605,1293357,1
1349605,1450931,1
1349605,259816,1
1349605,1264937,1
1349605,778808,1
1349605,528517,1
1349605,1008445,1
1349605,333213,1
1349605,628814,1
728,110113,1
728,1001931,1
728,1097199,1
728,805491,1
728,837108,1
728,351736,1
728,435262,1
728,868574,1
728,329030,1
341626,109443,1
341626,80533,1
341626,1302402,1
341626,1452189,1
341626,89380,1
341626,1270460,1
341626,827209,1
341626,863998,1
550951,9218,1
550951,1401524,1
550951,330752,1
550951,229877,1
550951,1295679,1
550951,291094,1
550951,1280763,1
550951,1483628,1
550951,1127550,1
550951,835174,1
550951,122259,1
550951,1153376,1
550951,102647,1
550951,1062145,1
550951,1441410,1
550951,570348,1
550951,1297273,1
550951,526741,1
550951,617591,1
550951,1072498,1
550951,806300,1
550951,1015952,1
550951,1249504,1
744577,22867,1
744577,280289,1
876522,1263076,1
876522,1175274,1
876522,267767,1
876522,388267,1
876522,858189,1
876522,1265711,1
876522,706355,1
876522,551517,1
964328,1225469,1
964328,1025950,1
991291,1365441,1
991291,1153376,1
991291,9218,1
991291,1072498,1
991291,465471,1
991291,574656,1
991291,1372958,1
991291,291094,1
991291,122259,1
991291,1441410,1
991291,772390,1
991291,1582719,1
991291,526741,1
991291,166486,1
991291,726480,1
991291,1015952,1
991291,649626,1
991291,8692,1
991291,1457353,1
991291,736671,1
991291,853692,1
991291,216681,1
991291,393508,1
1019001,31566,1
1019001,1006458,1
1019001,1247964,1
1019001,677152,1
1019001,61114,1
1019001,504096,1
1019001,166228,1
1117006,697949,1
1117006,1124423,1
1117006,1445015,1
1117006,175433,1
1117006,961686,1
1505796,1505796,1
1505796,602157,1
1505796,1417186,1
1505796,714780,1
958,659702,1
958,380769,1
958,978318,1
958,627422,1
481969,1191514,1
481969,1290290,1
481969,154709,1
481969,897348,1
481969,766820,1
481969,1178409,1
