node1,node2
275,828097
275,516706
275,477665
275,1313514
275,471404
275,1281698
275,1152664
58341,677600
58341,1327347
58341,1374428
194846,1329145
194846,1289344
194846,1033464
194846,1582716
194846,179604
194846,715923
194846,808752
194846,950224
194846,600716
214708,786974
214708,39543
214708,658758
214708,902149
214708,1349636
214708,605240
214708,662271
214708,1486027
214708,1477479
338137,867264
338137,239188
338137,181525
338137,1116059
338137,667688
338137,500175
338137,1033312
338137,1093800
471254,1072189
471254,1065888
675137,1293062
675137,109443
675137,1479641
675137,878519
675137,379882
675137,827209
675137,1006458
675137,579622
1349605,1016461
1349605,899132
1349605,1213450
1349605,229045
1349605,276625
1349605,664439
1349605,1527938
1349605,832181
1349605,194876
1349605,657875
1349605,1315610
1349605,939117
1349605,1559535
1349605,948796
728,618955
728,688219
728,1369668
728,61511
728,916102
728,1037995
728,735087
728,866864
728,1123035
341626,1239787
341626,300943
341626,762266
341626,453531
341626,514404
341626,514277
341626,500779
341626,1465186
550951,540371
550951,1039544
550951,292138
550951,1244385
550951,274728
550951,396501
550951,821338
550951,217209
550951,148315
550951,1001001
550951,1442469
550951,80774
550951,1409344
550951,473191
550951,81288
550951,629112
550951,230425
550951,1326747
550951,33387
550951,444859
550951,1425326
550951,1179673
550951,1175193
744577,8718
744577,1147201
876522,84899
876522,765428
876522,306240
876522,790130
876522,419142
876522,364786
876522,896055
876522,61114
964328,867304
964328,431866
991291,70448
991291,737385
991291,1517512
991291,848099
991291,538604
991291,1303729
991291,268928
991291,469141
991291,1401087
991291,929804
991291,725106
991291,861702
991291,1130768
991291,1003078
991291,1084938
991291,1473401
991291,1458460
991291,306412
991291,451596
991291,301862
991291,1174238
991291,671672
991291,353959
1019001,1313514
1019001,1440388
1019001,450009
1019001,390852
1019001,937070
1019001,1050633
1019001,749101
1019001,736769
1117006,987150
1117006,1510826
1117006,1229732
1117006,624191
1117006,1285825
1505796,1505796
1505796,1061894
1505796,802252
1505796,619315
958,530386
958,1223460
958,1564137
958,848139
481969,585183
481969,908093
481969,575549
481969,677951
481969,1522587
481969,638890
481969,509864
481969,281044
481969,337533
481969,1560646
481969,1508359
481969,343729
481969,943172
481969,9976
481969,1048814
834191,126204
834191,1089785
834191,1365434
834191,90645
960955,1385815
960955,1168858
960955,705065
960955,204912
1411697,968037
1411697,1327347
1411697,417311
1534,770864
1534,1554963
1534,695864
62893,275205
62893,277197
62893,151165
62893,323161
62893,1409740
916102,351736
916102,477665
916102,1300718
916102,539552
916102,1401269
916102,1549839
1051536,1210344
1589,194682
801369,861305
801369,1100731
801369,496017
801369,197010
801369,1260883
801369,594206
801369,680467
1677,631213
1677,1289168
242356,684141
242356,96635
242356,958069
242356,173055
242356,1338500
242356,214338
242356,84291
242356,704870
242356,175433
242356,551127
242356,820561
242356,535107
1695,920870
1695,612183
1695,677600
219505,1485906
219505,937070
219505,232919
219505,1208104
219505,1456079
219505,594551
219505,873913
1419615,726305
1419615,123503
1419615,820526
1720,1223329
1720,1351075
1720,1533665
1720,959113
1720,896752
1720,189725
1720,871557
1720,582100
29270,1351758
189019,1295679
189019,393508
505627,276724
505627,1351115
505627,824423
505627,792951
505627,100642
505627,1394480
505627,291914
505627,451191
505627,541603
505627,1438630
505627,828544
505627,85173
505627,645479
505627,123394
505627,239625
505627,1082202
505627,1574415
505627,511249
505627,662976
505627,723895
505627,1088084
505627,1302613
505627,1047284
505627,20978
505627,1002156
505627,670291
505627,358275
505627,49821
505627,1187706
505627,244613
505627,172042
905498,1517016
905498,228754
905498,1303415
905498,1582716
905498,1272332
905498,588334
905498,453089
905498,1568837
905498,642177
1137982,1041447
1137982,830933
1137982,180916
1137982,527605
1137982,372509
1137982,234696
1137982,1230759
1137982,1383765
1137982,209898
1137982,1518236
1137982,1089191
1137982,1470131
1137982,220951
1137982,1496927
1137982,1358745
1276154,752642
1276154,1033464
1276154,981295
1276154,984927
1276154,389079
1276154,351964
1276154,979516
1276154,1424210
1276154,687008
1276154,591017
1930,1305752
1930,649626
152643,152643
152643,479047
152643,1340074
320803,320803
320803,1194092
320803,1358251
320803,135720
320803,1373735
320803,617185
320803,1244124
320803,849018
320803,639091
320803,685309
320803,381020
320803,1011028
320803,1264374
320803,214384
320803,349285
320803,354706
320803,227087
320803,466225
320803,1491467
1985,62237
1020342,720419
1020342,1072498
2237,155323
2237,1246126
2237,1058140
2237,224148
2237,344488
2237,123550
2237,434348
569305,677600
569305,1582871
569305,1154444
720388,827034
720388,387647
720388,624191
720388,424017
720388,680832
937070,1278010
937070,26929
937070,554747
937070,652633
937070,848651
937070,1066673
1254924,1201920
1254924,979765
1254924,950462
1254924,897348
1422026,1422026
1422026,1012575
1422026,1135871
1422026,626522
1422026,420908
1422026,1368851
1422026,873775
1422026,276826
1422026,958051
1422026,49161
1422026,527605
1422026,1318629
1422026,61301
1422026,1418585
1422026,1429869
2848,1223005
2848,1178409
2848,514789
2848,825532
319468,229543
319468,357691
319468,176344
319468,857734
319468,1358251
319468,853572
319468,711452
319468,1356596
319468,1144884
319468,304097
319468,1065603
319468,1517614
319468,1537917
319468,476220
319468,1494123
319468,1187085
319468,1151825
319468,93173
319468,1438630
319468,1576609
319468,779758
319468,1339579
467895,1084369
467895,1288638
467895,1496743
467895,78880
467895,510268
467895,194876
467895,1214568
467895,1357957
467895,1245562
467895,949803
467895,610952
467895,306334
467895,16954
467895,321713
467895,659702
1406780,1587230
1406780,1371075
1406780,1309644
1406780,279368
1406780,70402
3223,229877
3223,1435652
1031707,107182
1031707,360197
1031707,463958
1031707,1419523
1031707,253432
1031707,601939
1031707,1074729
1031707,90625
1031707,885976
1031707,427265
1108453,1178409
1108453,404403
1108453,802252
1108453,1061591
3539,566064
3539,736671
1346486,1420572
1346486,1247964
1346486,1059332
1346486,837108
1346486,1478044
1346486,1218727
1346486,615678
3896,1432031
988613,448169
988613,9218
4112,175088
4112,1338486
4112,677600
655586,380878
1031219,553559
1031219,1017447
1031219,945325
1031219,571176
1031219,429998
1031219,375570
1031219,436620
1031219,482982
4776,486969
4776,617591
680467,5241
680467,1412425
680467,986517
680467,393546
680467,1080671
680467,802661
680467,1297344
680467,1134206
1244175,1329145
1244175,453531
1244175,1465186
1244175,816947
1244175,305687
1244175,1465114
1244175,1067883
1244175,1303415
1244175,676682
5090,200504
5090,171555
5090,38697
5090,1406623
5090,1119025
5090,1248899
5090,1502235
162353,399298
162353,794595
563685,1393614
563685,423746
563685,1441410
1058144,148634
1058144,42102
1058144,1284061
1058144,1262219
1058144,1452727
1087389,444962
1087389,244973
1087389,407949
1087389,1316120
1087389,1159065
1087389,756569
1087389,1110454
1087389,506085
1087389,1267173
1087389,257547
1087389,172194
1087389,414721
1087389,1135279
1087389,1534016
1087389,986668
1087389,627441
1087389,1239676
1087389,27172
5129,1065888
5129,202346
1227391,1309644
1227391,623317
1227391,1547708
1227391,1279510
1227391,1009553
5241,247999
5241,1098477
5241,477665
5241,57460
5241,922729
5241,471404
100492,1077760
100492,198356
100492,382724
100492,929939
100492,684006
100492,1237685
297078,1333513
297078,719200
297078,954741
297078,929472
297078,1152294
1154208,656621
1154208,1219728
1154208,500779
1154208,641956
1154208,1080671
1154208,992595
1154208,772622
1154208,1129698
1154208,715923
5285,171221
1053558,1481728
1053558,472855
1053558,1495132
1053558,553279
1053558,1144884
1053558,49161
1053558,441906
1053558,1346380
1053558,391598
1053558,867832
1053558,138753
1053558,44246
1053558,646566
1053558,1482999
1053558,495154
1053558,443766
1053558,1129303
1053558,1037273
1053558,1326747
1053558,1006779
1053558,1081276
5488,9218
957023,1147610
957023,1209267
957023,1156818
957023,661039
5614,619315
5614,912241
5614,695928
5614,588630
5614,1354518
5614,882422
228754,388398
228754,253048
228754,482982
228754,837108
228754,917010
