node1,node2,weight
1110,77742,25
1110,486543,2
1110,1056717,1
1110,1216765,1
1197,330558,8
1197,709062,5
1197,803811,3
1197,1398597,1
1335,111490,2
1335,117223,1
1335,134231,2
1335,297872,1
1335,304303,6
1335,364689,2
1335,443390,1
1335,492364,34
1335,498159,2
1335,536082,1
1335,592095,1
1335,761339,1
1335,798202,3
1335,996197,1
1335,1058999,12
1335,1114229,1
1335,1127027,2
1335,1131934,35
1335,1219478,2
1335,1344119,1
1335,1346236,4
1335,1451863,2
1335,1538091,8
1335,1539280,5
1335,1543604,4
1366,77919,2
1366,98626,4
1366,107872,21
1366,108110,6
1366,175513,2
1366,231190,4
1366,269784,3
1366,274798,1
1366,354616,4
1366,396554,18
1366,466123,4
1366,545075,45
1366,826959,5
1366,944246,6
1366,1115669,3
1366,1178233,2
1366,1225712,47
1366,1341525,14
1366,1419451,4
1366,1436802,20
1366,1476360,3
1366,1546330,3
2079,833551,10
2079,972887,14
2079,979919,2
2079,1042195,1
2079,1365367,13
2237,53028,2
2237,364867,1
2237,402555,1
2237,518400,1
2237,569305,2
2237,720388,4
2237,886616,1
2237,923066,1
2237,937070,1
2237,1029248,1
2237,1109907,1
2237,1254924,3
2237,1338486,2
2237,1338500,2
2237,1359217,3
2237,1360494,1
2237,1422026,1
2237,1508729,1
2258,61507,1
2258,226854,2
2258,512015,1
2258,524970,1
2258,981920,25
2258,1341609,1
2418,809611,4
2418,1243575,1
2567,204906,1
2567,1264584,1
3172,223020,3
3172,384173,4
3172,966569,4
3258,171016,1
3258,196153,3
3258,410619,2
3258,612565,1
3258,974037,2
3258,974891,1
3258,1338486,2
3371,163245,9
3371,732530,1
3504,31656,4
3504,203903,5
3504,237628,1
3504,324818,4
3504,414940,3
3504,603121,4
3504,610383,10
3504,612386,45
3504,639151,38
3504,729107,1
3504,756614,2
3504,766014,2
3504,827436,4
3504,879829,1
3504,974314,2
3504,1040099,1
3504,1086186,1
3504,1152770,16
3504,1185022,1
3504,1203522,1
3504,1334845,1
3504,1436707,3
3504,1445323,6
3504,1475868,8
3504,1487754,5
3504,1550569,6
3504,1554715,7
3920,918409,13
3960,1298248,4
3960,1437531,4
4331,15540,3
4331,386457,3
4523,240621,2
4523,242972,2
4523,379762,1
4523,395566,1
4523,510268,11
4523,536119,3
4523,571176,12
4523,660301,1
4523,811964,1
4523,883311,2
4523,1041716,1
4523,1110503,11
4523,1265600,7
4523,1359505,1
4523,1416131,4
4523,1420488,6
4523,1469686,6
4623,381315,9
4623,411862,2
4623,1281651,8
5065,124932,1
5065,356232,1
5065,792483,30
5065,832191,4
5065,940630,8
5480,221575,113
5480,1218934,11
5480,1587482,1
5500,1148058,2
5500,1471142,11
5505,711771,1
