node1,node2,network
1110,77742,0
1110,77742,0
1110,486543,0
1110,486543,0
1110,105520,0
1110,105520,0
1110,1202732,0
486543,146720,0
486543,146720,0
486543,462497,0
486543,462497,0
486543,718805,0
486543,718805,0
486543,903306,0
486543,903306,0
105520,1537917,0
105520,1537917,0
105520,275698,0
105520,275698,0
105520,1202732,0
105520,1202732,0
1202732,108609,0
1202732,108609,0
1202732,1537917,0
1202732,1537917,0
1197,330558,0
1197,330558,0
1197,709062,0
1197,709062,0
1197,803811,0
1197,803811,0
1197,1398597,0
1197,1398597,0
330558,782221,0
330558,782221,0
330558,932145,0
330558,932145,0
330558,1511928,0
330558,1511928,0
709062,340815,0
709062,340815,0
709062,375910,0
709062,375910,0
709062,516288,0
709062,516288,0
709062,707456,0
709062,707456,0
709062,735348,0
709062,735348,0
709062,765885,0
709062,765885,0
709062,793756,0
709062,793756,0
709062,803811,0
709062,803811,0
709062,1272766,0
709062,1272766,0
709062,1398597,0
803811,150032,0
803811,150032,0
1398597,913703,0
1398597,913703,0
1398597,1504057,0
1398597,1504057,0
1335,111490,0
1335,111490,0
1335,117223,0
1335,117223,0
1335,134231,0
1335,297872,0
1335,297872,0
1335,304303,0
1335,304303,0
1335,364689,0
1335,364689,0
1335,443390,0
1335,492364,0
1335,492364,0
1335,498159,0
1335,536082,0
1335,536082,0
1335,592095,0
1335,592095,0
1335,761339,0
1335,798202,0
1335,798202,0
1335,996197,0
1335,996197,0
1335,1058999,0
1335,1058999,0
1335,1114229,0
1335,1114229,0
1335,1127027,0
1335,1127027,0
1335,1131934,0
1335,1131934,0
1335,1219478,0
1335,1344119,0
1335,1346236,0
1335,1451863,0
1335,1451863,0
1335,1538091,0
1335,1538091,0
1335,1539280,0
1335,1539280,0
1335,1543604,0
1335,1543604,0
1335,25008,0
1335,52286,0
1335,814762,0
1335,752221,0
1335,1087507,0
1335,1119176,0
1335,1254299,0
1335,1316177,0
1335,1570420,0
111490,11577,0
111490,11577,0
111490,77686,0
111490,77686,0
111490,660301,0
111490,660301,0
111490,273738,0
111490,297872,0
111490,297872,0
111490,492364,0
111490,492364,0
111490,536082,0
111490,536082,0
