node1,node2
416,354
416,433
416,364
416,189
416,142
416,447
416,376
416,464
416,334
416,283
416,486
416,112
416,20
416,278
416,14
416,146
416,224
416,177
416,16
416,285
416,131
416,103
416,443
416,110
416,389
416,188
416,179
416,426
416,455
416,59
416,111
416,148
416,107
416,255
416,51
416,6
416,332
416,12
416,157
354,295
354,407
433,329
433,382
364,18
364,407
189,271
189,362
142,384
142,407
447,384
447,407
376,295
376,362
464,329
464,485
334,315
334,271
283,329
283,315
486,329
486,77
112,329
112,410
20,410
20,407
278,382
278,77
14,295
14,382
146,407
146,64
224,329
224,384
177,485
177,43
16,329
16,407
285,252
285,362
131,295
131,18
103,329
103,410
443,448
443,407
110,384
110,448
389,485
389,362
188,173
188,271
179,329
179,407
426,384
426,315
455,173
455,382
59,315
59,448
111,329
111,173
148,329
148,485
107,295
107,252
255,407
255,77
51,432
51,448
6,315
6,362
332,384
332,407
12,384
12,64
157,271
157,64
329,383
329,488
329,150
329,22
329,342
329,438
329,40
329,296
329,83
329,93
329,499
329,348
329,102
329,495
329,299
329,272
329,286
329,421
329,11
329,249
329,100
329,403
329,413
329,434
329,248
329,144
329,208
329,398
329,26
329,487
329,230
329,270
329,496
329,113
329,498
329,314
329,130
329,414
329,95
329,330
329,308
329,126
329,474
329,394
329,469
329,317
329,395
329,357
329,105
329,200
329,122
329,494
329,17
329,2
329,470
329,439
329,365
329,55
329,269
329,104
329,227
329,41
329,236
329,458
329,216
383,295
383,432
488,271
488,64
150,485
150,325
22,384
22,382
342,295
342,325
438,252
438,382
40,384
40,407
296,295
296,432
83,407
83,362
93,8
93,252
499,432
499,407
348,295
348,410
102,485
102,271
495,432
495,362
299,384
299,77
272,295
272,64
286,382
286,362
421,384
421,315
11,295
11,432
249,252
249,432
100,384
100,410
403,384
403,432
413,382
413,271
434,485
434,382
248,295
248,271
144,384
144,362
208,382
208,407
398,384
398,410
26,485
26,410
487,382
487,432
230,295
230,325
270,315
270,77
496,325
496,173
113,295
113,271
498,384
498,382
314,485
314,362
130,8
130,382
414,325
414,77
95,8
95,448
330,77
330,64
308,384
308,432
126,8
126,252
474,77
474,64
394,315
394,77
469,8
469,64
317,77
317,64
395,295
395,315
357,295
357,8
105,18
105,252
200,252
200,382
122,252
122,315
494,295
494,315
17,295
17,382
2,384
2,252
470,173
470,18
439,384
439,295
365,384
365,432
55,8
55,407
269,384
269,295
104,8
104,407
227,173
227,315
41,325
41,382
236,8
236,407
458,384
458,295
216,485
216,252
197,156
197,139
197,54
197,3
197,37
197,1
197,97
197,312
156,328
156,108
156,484
156,4
139,477
139,141
139,218
139,484
54,190
54,350
54,204
54,430
54,292
3,10
3,368
3,435
3,280
3,287
37,196
37,304
37,442
37,292
37,452
1,468
1,206
1,149
1,452
1,168
97,368
97,324
97,292
97,186
97,452
312,45
312,34
312,379
312,124
284,241
284,211
284,327
284,358
284,294
284,25
284,316
284,244
284,246
284,178
284,290
284,81
284,282
284,481
284,240
241,5
241,451
241,125
211,43
211,165
211,203
327,356
327,5
327,165
358,164
358,462
358,379
294,43
294,359
294,411
25,50
25,7
25,49
316,377
316,43
316,5
244,7
244,201
244,43
246,462
246,484
246,125
178,165
178,359
178,49
290,165
290,201
290,303
81,462
81,66
81,303
282,57
282,164
282,201
481,399
481,57
481,125
240,50
240,273
240,7
384,397
384,214
384,418
384,475
384,429
384,483
384,353
384,492
384,497
384,446
384,85
384,19
384,187
384,311
384,346
384,400
384,425
384,321
384,326
384,408
384,242
384,31
397,8
397,315
214,295
214,173
418,315
418,64
475,295
475,485
429,485
429,432
483,173
483,18
353,382
353,77
492,325
492,382
497,315
497,271
446,18
446,410
85,485
85,325
19,295
19,432
187,271
187,64
311,362
311,407
346,325
346,382
400,432
400,315
425,295
425,485
321,410
321,362
326,325
326,382
408,295
408,407
242,18
242,315
31,407
31,315
295,466
295,76
295,88
295,288
295,371
295,367
295,333
295,319
295,89
295,99
295,347
295,86
295,79
295,374
295,68
295,160
295,116
295,191
295,440
295,375
466,410
466,382
76,410
76,407
88,382
88,315
288,252
288,271
371,432
371,448
367,432
367,407
333,252
333,407
319,173
319,362
89,173
89,407
99,8
99,432
347,410
347,407
86,382
86,407
79,432
79,77
374,252
374,315
68,410
68,407
160,173
160,362
116,407
116,448
191,325
191,382
440,382
440,64
375,173
375,407
377,140
377,172
377,74
377,420
377,298
377,392
377,159
377,39
377,431
377,207
377,257
377,388
377,254
377,222
140,203
140,201
140,125
172,164
172,165
172,203
