node1,node2
348,389
348,123
348,437
348,463
348,297
348,448
348,3
348,309
348,241
348,225
348,54
348,157
348,253
348,196
348,485
348,381
348,373
348,131
348,29
348,182
348,452
348,201
348,314
348,347
348,26
348,357
348,72
348,470
348,178
348,305
348,262
348,416
348,90
348,391
348,179
348,21
348,303
348,353
348,355
389,109
389,449
123,52
123,351
437,231
437,449
463,192
463,318
297,234
297,449
448,234
448,449
3,109
3,318
309,52
309,98
241,363
241,192
225,52
225,363
54,52
54,34
157,52
157,63
253,63
253,449
196,351
196,34
485,109
485,351
381,449
381,275
373,52
373,234
131,98
131,128
29,52
29,449
182,401
182,318
452,109
452,231
201,52
201,63
314,255
314,449
347,234
347,255
26,98
26,318
357,270
357,192
72,52
72,449
470,234
470,363
178,270
178,351
305,363
305,255
262,52
262,270
416,52
416,98
90,109
90,401
391,449
391,34
179,85
179,255
21,363
21,318
303,234
303,449
353,234
353,275
355,192
355,275
52,10
52,375
52,372
52,465
52,240
52,15
52,360
52,212
52,119
52,32
52,143
52,237
52,56
52,1
52,496
52,454
52,227
52,194
52,84
52,152
52,14
52,498
52,151
52,187
52,398
52,474
52,441
52,66
52,435
52,312
52,466
52,386
52,342
52,480
52,74
52,330
52,370
52,414
52,159
52,8
52,473
52,228
52,18
52,122
52,244
52,45
52,218
52,226
52,283
52,75
52,409
52,319
52,28
52,322
52,149
52,310
52,424
52,336
52,108
52,146
52,36
52,51
52,390
52,343
52,203
10,109
10,85
375,192
375,275
372,98
372,488
465,234
465,351
240,109
240,488
15,401
15,351
360,234
360,449
212,109
212,85
119,449
119,318
32,268
32,401
143,85
143,449
237,109
237,63
56,98
56,192
1,85
1,318
496,234
496,34
454,109
454,275
227,351
227,318
194,234
194,363
84,109
84,85
152,401
152,85
14,234
14,63
498,234
498,85
151,351
151,192
187,98
187,351
398,109
398,192
474,234
474,318
441,351
441,449
66,234
66,63
435,98
435,63
312,351
312,85
466,109
466,488
386,363
386,34
342,488
342,270
480,109
480,192
74,234
74,351
330,98
330,318
370,268
370,351
414,488
414,34
159,268
159,255
8,34
8,275
473,234
473,85
228,268
228,401
18,34
18,275
122,363
122,34
244,268
244,275
45,34
45,275
218,109
218,363
226,109
226,268
283,231
283,401
75,401
75,351
409,401
409,363
319,109
319,363
28,109
28,351
322,234
322,401
149,270
149,231
310,234
310,109
424,234
424,85
336,268
336,449
108,234
108,109
146,268
146,449
36,270
36,363
51,488
51,351
390,268
390,449
343,234
343,109
203,98
203,401
133,307
133,140
133,462
133,491
133,483
133,141
133,354
133,7
307,102
307,402
307,366
307,214
140,492
140,167
140,180
140,366
462,289
462,481
462,55
462,138
462,304
491,177
491,469
491,235
491,302
491,352
483,250
483,95
483,335
483,304
483,101
141,385
141,27
141,117
141,101
141,190
354,469
354,256
354,304
354,392
354,101
7,378
7,379
7,2
7,154
249,332
249,328
249,68
249,475
249,266
249,204
249,175
249,16
249,124
249,144
249,451
249,432
249,105
249,376
249,313
332,311
332,147
332,263
328,128
328,464
328,453
68,331
68,311
68,464
475,88
475,9
475,2
266,128
266,211
266,0
204,395
204,104
204,13
175,97
175,128
175,311
16,104
16,209
16,128
124,9
124,366
124,263
144,464
144,211
144,13
451,464
451,209
451,57
432,9
432,494
432,57
105,39
105,88
105,209
376,198
376,39
376,263
313,395
313,114
313,104
234,33
234,396
234,286
234,387
234,394
234,455
234,442
234,6
234,374
234,295
234,174
234,413
234,259
234,287
234,69
234,12
234,193
234,415
234,236
234,25
234,65
234,142
33,268
33,363
396,109
396,270
286,363
286,275
387,109
387,98
394,98
394,85
455,270
455,231
442,351
442,34
6,488
6,351
374,363
374,192
295,231
295,63
174,98
174,488
413,109
413,85
259,192
259,275
287,318
287,449
69,488
69,351
12,85
12,363
193,109
193,98
415,63
415,318
236,488
236,351
25,109
25,449
65,231
65,363
142,449
142,363
109,334
109,41
109,423
109,320
109,181
109,206
109,344
109,82
109,284
109,107
109,471
109,461
109,210
109,168
109,230
109,457
109,420
109,79
109,436
109,411
334,63
334,351
41,63
41,449
423,351
423,363
320,401
320,192
181,85
181,255
206,85
206,449
344,401
344,449
82,270
82,318
284,270
284,449
107,268
107,85
471,63
471,449
461,351
461,449
210,85
210,34
168,401
168,363
230,63
230,449
457,270
457,318
420,449
420,255
79,488
79,351
436,351
436,275
411,270
411,449
