node1,node2
26,179
26,118
26,482
26,322
26,294
26,416
26,375
26,441
26,229
26,71
26,14
26,202
26,68
26,243
26,117
26,389
26,348
26,297
26,18
26,387
26,247
26,31
26,73
26,160
26,339
26,437
26,72
26,488
26,327
26,211
26,299
26,267
26,280
26,403
26,368
26,176
26,283
26,402
26,378
179,212
179,247
179,118
179,482
179,322
179,202
179,416
179,243
179,375
179,389
179,160
179,68
179,387
179,348
179,18
179,109
179,455
179,297
179,327
179,229
179,459
179,73
179,71
179,280
179,464
179,176
179,437
179,72
179,117
179,14
179,382
179,488
179,294
179,339
179,441
179,213
179,299
179,240
179,211
179,403
179,258
179,267
179,80
179,371
179,378
179,402
179,283
179,178
179,368
179,491
179,135
179,424
179,307
179,439
179,161
179,60
179,477
179,76
179,379
179,24
179,31
179,443
179,143
179,59
179,435
179,483
179,86
179,226
179,127
179,399
179,496
179,138
179,329
179,141
179,123
118,247
118,348
118,243
118,297
118,482
118,322
118,267
118,387
118,202
118,488
118,339
118,389
118,280
482,247
482,202
482,294
482,18
482,71
482,327
482,387
482,299
482,348
482,72
482,176
482,416
482,322
482,441
482,389
482,297
482,14
482,243
482,160
482,73
482,229
482,378
482,339
482,258
482,267
482,375
482,211
482,31
482,488
482,437
482,117
482,403
482,280
482,402
482,368
482,443
482,455
482,68
482,283
482,240
482,76
322,247
322,297
322,18
322,243
322,229
322,488
322,213
322,71
322,387
322,211
322,348
322,339
322,437
322,416
322,283
322,375
322,202
322,441
322,267
322,327
322,389
322,117
322,14
322,72
322,280
322,402
322,31
322,294
322,378
322,368
322,160
322,176
322,68
322,258
322,299
322,73
322,403
322,76
322,382
322,455
322,109
322,443
294,202
294,243
294,297
294,247
294,348
294,389
294,229
294,280
294,18
294,339
294,68
416,247
416,243
416,202
416,297
416,327
416,211
416,71
416,14
416,389
416,387
416,229
416,348
416,72
416,375
416,160
416,441
375,247
375,387
375,14
375,389
375,243
375,297
375,229
375,211
375,348
375,72
375,202
375,160
375,327
375,71
441,229
441,348
441,247
441,202
441,297
441,243
441,14
441,211
441,299
441,387
441,327
441,160
229,297
229,160
229,14
229,211
229,72
229,389
229,202
229,243
229,348
229,247
229,387
229,71
229,327
71,243
71,247
71,297
71,348
71,14
71,202
71,387
71,211
71,389
71,299
71,117
71,327
71,160
71,72
14,211
14,243
14,389
14,297
14,387
14,202
14,247
14,72
14,348
14,327
14,299
14,160
14,488
14,117
14,339
14,437
14,280
202,211
202,348
202,247
202,387
202,297
202,280
202,243
202,299
202,389
202,339
202,160
202,72
202,176
202,117
202,18
202,437
202,327
202,31
202,68
202,488
202,73
202,378
202,267
68,247
68,297
68,243
68,437
68,176
68,258
68,73
68,31
243,211
243,348
243,247
243,297
243,160
243,389
243,339
243,327
243,18
243,72
243,176
243,488
243,387
243,267
243,117
243,280
243,299
243,437
243,283
243,31
243,368
243,73
117,211
117,348
117,247
117,297
117,339
117,387
117,280
117,18
389,211
389,348
389,247
389,297
389,327
389,488
389,387
389,160
389,72
389,299
348,211
348,247
348,72
348,297
348,387
348,327
348,160
348,18
348,280
348,299
297,211
297,403
297,455
297,247
297,387
297,327
297,160
297,299
297,280
297,72
297,267
297,18
297,488
297,437
297,339
297,258
297,31
297,176
297,73
297,402
297,368
297,283
18,247
18,339
18,267
18,387
18,488
387,211
387,247
387,327
387,339
387,160
387,299
387,72
247,211
247,403
247,455
247,327
247,267
247,299
247,437
247,176
247,280
247,160
247,73
247,31
247,339
247,72
247,488
247,258
247,283
247,402
247,240
247,368
247,213
247,76
31,403
31,455
31,437
31,402
73,267
73,402
73,176
73,437
160,211
160,72
339,437
437,176
72,327
488,267
488,280
488,299
327,211
299,280
267,176
267,402
403,368
403,382
403,258
403,378
403,213
368,455
368,283
368,258
368,378
176,283
176,402
283,455
283,402
283,76
402,258
402,378
378,455
378,213
378,76
378,258
212,443
212,483
212,143
212,439
212,109
212,424
212,464
212,459
212,178
109,443
109,371
109,483
109,178
109,86
109,424
109,464
455,258
455,382
455,240
459,371
459,483
459,379
459,439
459,143
459,464
459,424
459,240
464,371
464,483
464,178
464,379
464,439
464,143
382,443
382,178
382,213
382,76
382,240
382,143
382,258
213,443
213,371
213,76
213,240
213,379
240,443
240,483
240,178
240,76
80,435
80,60
80,86
80,439
80,491
80,24
80,59
80,143
371,424
371,483
371,439
371,76
371,59
178,443
178,135
178,379
178,439
491,406
491,127
491,161
491,135
491,60
491,24
491,59
135,226
135,307
135,127
135,161
135,477
135,24
424,443
424,161
424,483
424,379
424,143
307,226
307,127
307,161
307,477
307,60
307,496
307,24
439,127
439,483
439,143
161,435
161,477
161,59
161,86
60,226
60,86
60,24
60,477
60,474
477,226
477,435
477,127
477,143
76,443
379,483
379,143
379,59
379,24
24,127
24,59
59,226
59,435
435,226
435,227
435,388
435,86
86,127
86,238
86,341
226,127
226,341
399,496
399,114
399,474
399,480
399,388
399,238
399,141
496,498
496,302
496,329
496,238
496,341
138,406
138,302
138,227
138,473
138,141
138,238
138,461
329,54
329,480
329,341
329,473
329,461
329,277
141,406
141,302
141,480
141,460
141,473
123,388
123,227
123,473
123,155
123,461
123,474
123,341
388,498
388,406
388,302
388,277
388,474
227,406
227,480
227,277
227,341
227,238
473,498
473,302
473,114
473,224
155,208
155,195
155,425
155,274
155,421
155,309
461,302
461,480
461,474
461,114
461,341
474,82
474,480
474,277
341,498
64,331
64,376
64,25
64,57
331,120
331,304
331,233
376,4
376,334
376,83
25,261
25,234
25,10
57,162
57,75
57,56
347,208
347,224
347,460
347,425
347,421
347,22
347,139
208,195
208,460
208,446
208,309
208,22
224,82
224,446
224,460
224,425
224,191
460,139
460,356
460,114
425,54
425,139
425,309
425,274
421,54
421,139
421,446
421,479
421,191
22,82
22,54
22,195
22,274
22,191
139,82
139,309
139,446
121,87
121,97
121,150
121,21
121,490
87,412
87,55
87,174
87,157
97,108
97,157
97,492
97,69
150,351
150,284
150,40
150,412
21,351
21,412
21,409
21,111
490,380
490,288
490,186
490,401
498,238
498,302
498,114
498,277
238,480
238,114
302,406
114,406
114,277
277,406
277,480
351,321
351,465
351,5
321,136
321,12
321,373
321,192
465,12
465,49
465,142
465,296
5,167
5,476
5,296
5,119
396,169
396,288
396,167
396,188
396,85
169,380
169,409
169,401
169,284
288,55
288,79
288,492
167,409
167,497
167,296
188,296
188,111
188,106
188,84
85,182
85,393
85,308
85,231
85,185
219,244
219,154
219,346
219,45
244,408
244,255
244,144
154,38
154,457
154,385
346,359
346,265
346,315
45,395
45,174
45,83
19,353
19,484
19,393
19,47
19,308
19,303
353,30
353,158
353,206
353,303
