node1,node2
76,367
76,14
76,308
76,16
76,270
76,474
76,438
76,6
76,85
76,131
76,11
76,285
76,286
76,342
76,19
76,421
76,414
76,180
76,470
76,236
76,2
76,338
76,146
76,234
76,322
76,229
76,429
76,95
76,455
76,255
76,318
76,17
76,100
76,354
76,465
76,440
76,188
76,46
76,101
367,129
367,2
367,14
367,308
367,16
367,285
367,474
367,342
367,438
367,421
367,234
367,286
367,236
367,414
367,470
367,103
367,112
367,180
367,455
367,85
367,22
367,146
367,131
367,100
367,363
367,440
367,229
367,429
367,19
367,11
367,237
367,95
367,270
367,322
367,6
367,296
367,318
367,397
367,255
367,354
367,374
367,17
367,137
367,68
367,101
367,46
367,188
367,150
367,465
367,326
367,130
367,314
367,483
367,143
367,55
367,337
367,371
367,147
367,31
367,12
367,338
367,99
367,445
367,425
367,233
367,400
367,59
367,495
367,183
367,119
367,394
367,41
367,161
367,104
367,208
14,2
14,414
14,342
14,180
14,308
14,16
14,17
14,236
14,285
14,95
14,322
14,421
14,100
308,2
308,285
308,270
308,470
308,131
308,455
308,236
308,318
308,414
308,429
308,440
308,474
308,16
308,6
308,421
308,180
308,11
308,342
308,234
308,146
308,85
308,101
308,322
308,374
308,17
308,438
308,255
308,338
308,95
308,229
308,19
308,354
308,100
308,46
308,465
308,99
308,112
308,286
308,188
308,397
308,147
16,2
16,180
16,470
16,342
16,85
16,95
16,296
16,131
16,236
16,255
16,414
16,322
16,229
16,474
16,188
16,438
16,285
16,6
16,17
16,455
16,421
16,19
16,11
16,429
16,100
16,46
16,338
16,270
16,101
16,465
16,234
16,440
16,286
16,374
16,318
16,146
16,354
16,147
16,237
16,112
16,103
16,99
270,285
270,342
270,180
270,2
270,414
270,421
270,85
270,100
270,470
270,322
270,286
474,2
474,342
474,285
474,180
474,455
474,255
474,131
474,11
474,421
474,236
474,85
474,414
474,429
474,438
474,234
474,6
438,2
438,236
438,11
438,421
438,342
438,180
438,85
438,255
438,414
438,429
438,285
438,234
438,455
438,131
6,85
6,414
6,2
6,285
6,180
6,342
6,11
6,255
6,318
6,236
6,455
6,234
85,180
85,234
85,11
85,255
85,429
85,421
85,285
85,342
85,414
85,2
85,236
85,131
85,455
131,342
131,2
131,180
131,414
131,11
131,285
131,236
131,255
131,421
131,318
131,19
131,455
131,234
131,429
11,255
11,342
11,421
11,180
11,236
11,285
11,2
11,429
11,414
11,455
11,318
11,234
11,95
11,19
11,322
11,229
11,100
285,255
285,414
285,2
285,236
285,180
285,100
285,342
285,318
285,421
285,322
285,234
285,429
285,440
285,19
285,470
285,229
285,455
285,338
285,286
285,95
285,146
285,101
285,17
286,2
286,180
286,342
286,229
286,440
286,374
286,146
286,338
342,255
342,414
342,2
342,180
342,234
342,421
342,322
342,455
342,470
342,429
342,440
342,95
342,236
342,17
342,19
342,100
342,318
342,229
342,188
342,338
342,465
342,146
19,255
19,414
19,2
19,180
19,322
19,236
19,100
19,470
421,255
421,414
421,2
421,180
421,455
421,95
421,236
421,234
421,429
421,318
414,255
414,2
414,429
414,180
414,236
414,455
414,234
414,470
414,100
414,318
180,255
180,354
180,112
180,2
180,236
180,455
180,234
180,318
180,100
180,429
180,17
180,470
180,95
180,229
180,322
180,374
180,338
180,440
180,146
180,46
180,465
180,188
470,2
470,322
470,17
470,236
470,95
236,255
236,2
236,455
236,322
236,234
236,318
236,429
2,255
2,354
2,112
2,455
2,17
2,318
2,229
2,440
2,100
2,234
2,146
2,338
2,322
2,429
2,95
2,374
2,188
2,46
2,397
2,465
2,296
2,147
338,354
338,112
338,229
338,46
146,17
146,46
146,440
146,229
234,255
234,429
322,229
229,440
429,455
95,17
95,100
95,318
455,255
318,100
17,440
17,46
354,465
354,237
354,374
354,101
354,296
465,112
465,188
465,374
465,101
440,188
440,46
188,112
188,46
188,147
46,374
46,101
101,112
101,296
101,147
101,374
129,99
129,400
129,445
129,143
129,103
129,314
129,363
129,22
129,150
103,99
103,68
103,400
103,150
103,59
103,314
103,363
112,374
112,237
112,397
22,68
22,400
22,31
22,143
22,445
22,363
22,314
22,397
363,68
363,400
363,150
363,31
363,143
363,445
237,99
237,150
237,296
237,147
237,397
237,445
237,374
296,99
296,68
296,147
296,397
296,31
