node1,node2,network
348,389,0
348,123,0
348,437,0
348,463,0
348,297,0
348,448,0
348,3,0
348,309,0
348,241,0
348,225,0
348,54,0
348,157,0
348,253,0
348,196,0
348,485,0
348,381,0
348,373,0
348,131,0
348,29,0
348,182,0
348,452,0
348,201,0
348,314,0
348,347,0
348,26,0
348,357,0
348,72,0
348,470,0
348,178,0
348,305,0
348,262,0
348,416,0
348,90,0
348,391,0
348,179,0
348,21,0
348,303,0
348,353,0
348,355,0
389,109,0
389,449,0
123,52,0
123,351,0
437,231,0
437,449,0
463,192,0
463,318,0
297,234,0
297,449,0
448,234,0
448,449,0
3,109,0
3,318,0
309,52,0
309,98,0
241,363,0
241,192,0
225,52,0
225,363,0
54,52,0
54,34,0
157,52,0
157,63,0
253,63,0
253,449,0
196,351,0
196,34,0
485,109,0
485,351,0
381,449,0
381,275,0
373,52,0
373,234,0
131,98,0
131,128,0
29,52,0
29,449,0
182,401,0
182,318,0
452,109,0
452,231,0
201,52,0
201,63,0
314,255,0
314,449,0
347,234,0
347,255,0
26,98,0
26,318,0
357,270,0
357,192,0
72,52,0
72,449,0
470,234,0
470,363,0
178,270,0
178,351,0
305,363,0
305,255,0
262,52,0
262,270,0
416,52,0
416,98,0
90,109,0
90,401,0
391,449,0
391,34,0
179,85,0
179,255,0
21,363,0
21,318,0
303,234,0
303,449,0
353,234,0
353,275,0
355,192,0
355,275,0
52,10,0
52,375,0
52,372,0
52,465,0
52,240,0
52,15,0
52,360,0
52,212,0
52,119,0
52,32,0
52,143,0
52,237,0
52,56,0
52,1,0
52,496,0
52,454,0
52,227,0
52,194,0
52,84,0
52,152,0
52,14,0
52,498,0
52,151,0
52,187,0
52,398,0
52,474,0
52,441,0
52,66,0
52,435,0
52,312,0
52,466,0
52,386,0
52,342,0
52,480,0
52,74,0
52,330,0
52,370,0
52,414,0
52,159,0
52,8,0
52,473,0
52,228,0
52,18,0
52,122,0
52,244,0
52,45,0
52,218,0
52,226,0
52,283,0
52,75,0
52,409,0
52,319,0
52,28,0
52,322,0
52,149,0
52,310,0
52,424,0
52,336,0
52,108,0
52,146,0
52,36,0
52,51,0
52,390,0
52,343,0
52,203,0
10,109,0
10,85,0
375,192,0
375,275,0
372,98,0
372,488,0
465,234,0
465,351,0
240,109,0
240,488,0
15,401,0
15,351,0
360,234,0
360,449,0
212,109,0
212,85,0
119,449,0
119,318,0
32,268,0
32,401,0
143,85,0
143,449,0
237,109,0
237,63,0
56,98,0
56,192,0
1,85,0
1,318,0
496,234,0
496,34,0
454,109,0
454,275,0
227,351,0
227,318,0
194,234,0
194,363,0
84,109,0
84,85,0
152,401,0
152,85,0
14,234,0
14,63,0
498,234,0
498,85,0
151,351,0
151,192,0
187,98,0
187,351,0
398,109,0
398,192,0
474,234,0
474,318,0
441,351,0
441,449,0
66,234,0
66,63,0
435,98,0
435,63,0
312,351,0
312,85,0
466,109,0
466,488,0
386,363,0
386,34,0
342,488,0
342,270,0
480,109,0
480,192,0
74,234,0
74,351,0
330,98,0
330,318,0
