node1,node2,network
26,179,0
26,118,0
26,482,0
26,322,0
26,294,0
26,416,0
26,375,0
26,441,0
26,229,0
26,71,0
26,14,0
26,202,0
26,68,0
26,243,0
26,117,0
26,389,0
26,348,0
26,297,0
26,18,0
26,387,0
26,247,0
26,31,0
26,73,0
26,160,0
26,339,0
26,437,0
26,72,0
26,488,0
26,327,0
26,211,0
26,299,0
26,267,0
26,280,0
26,403,0
26,368,0
26,176,0
26,283,0
26,402,0
26,378,0
179,212,0
179,247,0
179,118,0
179,482,0
179,322,0
179,202,0
179,416,0
179,243,0
179,375,0
179,389,0
179,160,0
179,68,0
179,387,0
179,348,0
179,18,0
179,109,0
179,455,0
179,297,0
179,327,0
179,229,0
179,459,0
179,73,0
179,71,0
179,280,0
179,464,0
179,176,0
179,437,0
179,72,0
179,117,0
179,14,0
179,382,0
179,488,0
179,294,0
179,339,0
179,441,0
179,213,0
179,299,0
179,240,0
179,211,0
179,403,0
179,258,0
179,267,0
179,80,0
179,371,0
179,378,0
179,402,0
179,283,0
179,178,0
179,368,0
179,491,0
179,135,0
179,424,0
179,307,0
179,439,0
179,161,0
179,60,0
179,477,0
179,76,0
179,379,0
179,24,0
179,31,0
179,443,0
179,143,0
179,59,0
179,435,0
179,483,0
179,86,0
179,226,0
179,127,0
179,399,0
179,496,0
179,138,0
179,329,0
179,141,0
179,123,0
118,247,0
118,348,0
118,243,0
118,297,0
118,482,0
118,322,0
118,267,0
118,387,0
118,202,0
118,488,0
118,339,0
118,389,0
118,280,0
482,247,0
482,202,0
482,294,0
482,18,0
482,71,0
482,327,0
482,387,0
482,299,0
482,348,0
482,72,0
482,176,0
482,416,0
482,322,0
482,441,0
482,389,0
482,297,0
482,14,0
482,243,0
482,160,0
482,73,0
482,229,0
482,378,0
482,339,0
482,258,0
482,267,0
482,375,0
482,211,0
482,31,0
482,488,0
482,437,0
482,117,0
482,403,0
482,280,0
482,402,0
482,368,0
482,443,0
482,455,0
482,68,0
482,283,0
482,240,0
482,76,0
322,247,0
322,297,0
322,18,0
322,243,0
322,229,0
322,488,0
322,213,0
322,71,0
322,387,0
322,211,0
322,348,0
322,339,0
322,437,0
322,416,0
322,283,0
322,375,0
322,202,0
322,441,0
322,267,0
322,327,0
322,389,0
322,117,0
322,14,0
322,72,0
322,280,0
322,402,0
322,31,0
322,294,0
322,378,0
322,368,0
322,160,0
322,176,0
322,68,0
322,258,0
322,299,0
322,73,0
322,403,0
322,76,0
322,382,0
322,455,0
322,109,0
322,443,0
294,202,0
294,243,0
294,297,0
294,247,0
294,348,0
294,389,0
294,229,0
294,280,0
294,18,0
294,339,0
294,68,0
416,247,0
416,243,0
416,202,0
416,297,0
416,327,0
416,211,0
416,71,0
416,14,0
416,389,0
416,387,0
416,229,0
416,348,0
416,72,0
416,375,0
416,160,0
416,441,0
375,247,0
375,387,0
375,14,0
375,389,0
375,243,0
375,297,0
375,229,0
375,211,0
375,348,0
375,72,0
375,202,0
375,160,0
375,327,0
375,71,0
441,229,0
441,348,0
441,247,0
441,202,0
441,297,0
441,243,0
441,14,0
441,211,0
441,299,0
441,387,0
441,327,0
441,160,0
229,297,0
229,160,0
229,14,0
229,211,0
229,72,0
229,389,0
229,202,0
229,243,0
229,348,0
229,247,0
229,387,0
229,71,0
229,327,0
71,243,0
71,247,0
71,297,0
71,348,0
71,14,0
71,202,0
71,387,0
71,211,0
71,389,0
71,299,0
71,117,0
71,327,0
71,160,0
71,72,0
14,211,0
14,243,0
14,389,0
14,297,0
14,387,0
14,202,0
14,247,0
14,72,0
14,348,0
14,327,0
14,299,0
14,160,0
14,488,0
14,117,0
14,339,0
14,437,0
14,280,0
202,211,0
202,348,0
202,247,0
202,387,0
202,297,0
202,280,0
202,243,0
202,299,0
202,389,0
202,339,0
202,160,0
202,72,0
202,176,0
202,117,0
202,18,0
202,437,0
202,327,0
202,31,0
202,68,0
202,488,0
202,73,0
202,378,0
202,267,0
68,247,0
68,297,0
68,243,0
68,437,0
68,176,0
68,258,0
68,73,0
68,31,0
243,211,0
243,348,0
243,247,0
243,297,0
243,160,0
243,389,0
243,339,0
243,327,0
243,18,0
243,72,0
243,176,0
243,488,0
243,387,0
243,267,0
243,117,0
243,280,0
243,299,0
243,437,0
243,283,0
243,31,0
243,368,0
243,73,0
117,211,0
117,348,0
117,247,0
117,297,0
117,339,0
117,387,0
117,280,0
117,18,0
389,211,0
389,348,0
389,247,0
389,297,0
389,327,0
389,488,0
389,387,0
389,160,0
389,72,0
389,299,0
348,211,0
348,247,0
348,72,0
348,297,0
348,387,0
348,327,0
348,160,0
348,18,0
348,280,0
348,299,0
297,211,0
297,403,0
297,455,0
297,247,0
297,387,0
297,327,0
297,160,0
297,299,0
297,280,0
297,72,0
297,267,0
297,18,0
297,488,0
297,437,0
297,339,0
297,258,0
297,31,0
297,176,0
297,73,0
297,402,0
297,368,0
297,283,0
18,247,0
18,339,0
18,267,0
18,387,0
18,488,0
387,211,0
387,247,0
387,327,0
387,339,0
387,160,0
387,299,0
387,72,0
247,211,0
247,403,0
247,455,0
247,327,0
247,267,0
247,299,0
247,437,0
247,176,0
247,280,0
247,160,0
