node1,node2,network
0,293,0
0,433,0
0,364,0
0,382,0
0,142,0
0,447,0
0,376,0
0,464,0
0,334,0
0,283,0
0,486,0
0,393,0
0,316,0
0,278,0
0,420,0
0,176,0
0,304,0
0,177,0
0,379,0
0,489,0
0,131,0
0,479,0
0,443,0
0,210,0
0,451,0
0,358,0
0,432,0
0,426,0
0,455,0
0,462,0
0,329,0
0,427,0
0,107,0
0,337,0
0,366,0
0,292,0
0,167,0
0,481,0
0,295,0
3,383,0
3,444,0
3,150,0
3,232,0
3,342,0
3,438,0
3,411,0
3,379,0
3,254,0
3,83,0
3,424,0
3,393,0
3,479,0
3,499,0
3,348,0
3,448,0
3,495,0
3,299,0
3,272,0
3,388,0
3,421,0
3,310,0
3,350,0
3,329,0
3,402,0
3,403,0
3,413,0
3,434,0
3,248,0
3,144,0
3,365,0
3,398,0
3,456,0
3,368,0
3,230,0
3,187,0
3,496,0
3,113,0
3,498,0
3,377,0
3,464,0
3,435,0
3,275,0
3,472,0
3,330,0
3,432,0
3,308,0
3,433,0
3,126,0
3,474,0
3,304,0
3,480,0
3,469,0
3,317,0
3,395,0
3,357,0
3,427,0
3,274,0
3,362,0
3,283,0
3,331,0
3,494,0
3,387,0
3,485,0
3,470,0
3,439,0
3,313,0
3,263,0
3,269,0
3,309,0
3,399,0
3,228,0
3,416,0
3,458,0
3,216,0
3,486,0
4,156,0
4,139,0
4,77,0
4,135,0
4,182,0
4,242,0
4,200,0
4,412,0
5,241,0
5,211,0
5,327,0
5,188,0
5,294,0
5,141,0
5,476,0
5,13,0
5,250,0
5,178,0
5,290,0
5,287,0
5,371,0
5,175,0
5,240,0
6,202,0
6,214,0
6,426,0
6,447,0
6,403,0
6,481,0
6,308,0
6,418,0
6,232,0
6,165,0
6,429,0
6,304,0
6,483,0
6,353,0
6,492,0
6,167,0
6,398,0
6,485,0
6,497,0
6,439,0
6,446,0
6,144,0
6,458,0
6,85,0
6,210,0
6,266,0
6,269,0
6,417,0
6,142,0
6,402,0
6,375,0
6,411,0
6,346,0
6,400,0
6,498,0
6,425,0
6,321,0
6,313,0
6,421,0
6,326,0
6,299,0
6,408,0
6,478,0
6,404,0
7,466,0
7,422,0
7,477,0
7,288,0
7,387,0
7,272,0
7,356,0
7,494,0
7,254,0
7,439,0
7,113,0
7,367,0
7,408,0
7,333,0
7,482,0
7,125,0
7,406,0
7,214,0
7,293,0
7,347,0
7,131,0
7,86,0
7,376,0
7,383,0
7,357,0
7,342,0
7,310,0
7,107,0
7,491,0
7,260,0
7,395,0
7,420,0
7,468,0
7,348,0
7,160,0
7,116,0
7,165,0
7,425,0
7,248,0
7,191,0
7,266,0
7,252,0
7,484,0
7,269,0
7,458,0
7,230,0
9,140,0
9,183,0
9,440,0
9,239,0
9,298,0
9,392,0
9,159,0
9,314,0
9,137,0
9,351,0
9,442,0
9,286,0
9,146,0
9,407,0
9,476,0
12,216,0
12,85,0
12,264,0
12,177,0
12,429,0
12,165,0
12,425,0
12,233,0
12,363,0
12,451,0
12,369,0
12,448,0
12,464,0
12,427,0
12,456,0
12,434,0
12,323,0
12,150,0
12,419,0
12,377,0
13,97,0
13,201,0
13,16,0
15,436,0
15,35,0
15,342,0
15,275,0
15,326,0
15,492,0
15,150,0
15,228,0
15,203,0
15,85,0
15,457,0
15,346,0
15,496,0
15,338,0
15,230,0
15,191,0
15,369,0
15,352,0
15,363,0
16,410,0
16,332,0
16,277,0
16,344,0
16,351,0
16,96,0
16,268,0
16,120,0
16,189,0
16,294,0
16,177,0
16,475,0
16,476,0
16,211,0
16,289,0
16,302,0
17,281,0
17,229,0
17,186,0
17,396,0
17,91,0
17,242,0
17,143,0
18,282,0
18,137,0
18,265,0
18,268,0
18,67,0
18,394,0
18,175,0
18,249,0
18,239,0
18,397,0
18,289,0
22,335,0
22,472,0
22,262,0
22,303,0
22,123,0
22,406,0
22,263,0
22,390,0
22,435,0
22,490,0
22,488,0
22,453,0
22,126,0
22,469,0
22,202,0
22,206,0
22,357,0
22,309,0
22,416,0
22,322,0
22,424,0
23,358,0
23,496,0
23,214,0
23,199,0
23,470,0
23,329,0
23,363,0
23,399,0
23,455,0
23,482,0
23,449,0
23,233,0
23,483,0
23,390,0
23,401,0
23,125,0
23,160,0
23,484,0
23,471,0
23,373,0
23,251,0
24,459,0
24,428,0
24,364,0
24,247,0
24,490,0
24,256,0
24,470,0
24,437,0
24,450,0
24,262,0
24,274,0
24,131,0
24,483,0
24,203,0
24,478,0
24,405,0
24,461,0
24,446,0
24,303,0
24,453,0
27,234,0
27,169,0
27,258,0
27,156,0
27,220,0
27,99,0
27,354,0
27,170,0
27,285,0
47,245,0
47,173,0
47,324,0
47,315,0
47,244,0
47,205,0
47,344,0
47,343,0
47,179,0
47,277,0
47,327,0
47,359,0
57,454,0
57,431,0
