node1,node2
0,293
0,433
0,364
0,382
0,142
0,447
0,376
0,464
0,334
0,283
0,486
0,393
0,316
0,278
0,420
0,176
0,304
0,177
0,379
0,489
0,131
0,479
0,443
0,210
0,451
0,358
0,432
0,426
0,455
0,462
0,329
0,427
0,107
0,337
0,366
0,292
0,167
0,481
0,295
3,383
3,444
3,150
3,232
3,342
3,438
3,411
3,379
3,254
3,83
3,424
3,393
3,479
3,499
3,348
3,448
3,495
3,299
3,272
3,388
3,421
3,310
3,350
3,329
3,402
3,403
3,413
3,434
3,248
3,144
3,365
3,398
3,456
3,368
3,230
3,187
3,496
3,113
3,498
3,377
3,464
3,435
3,275
3,472
3,330
3,432
3,308
3,433
3,126
3,474
3,304
3,480
3,469
3,317
3,395
3,357
3,427
3,274
3,362
3,283
3,331
3,494
3,387
3,485
3,470
3,439
3,313
3,263
3,269
3,309
3,399
3,228
3,416
3,458
3,216
3,486
4,156
4,139
4,77
4,135
4,182
4,242
4,200
4,412
5,241
5,211
5,327
5,188
5,294
5,141
5,476
5,13
5,250
5,178
5,290
5,287
5,371
5,175
5,240
6,202
6,214
6,426
6,447
6,403
6,481
6,308
6,418
6,232
6,165
6,429
6,304
6,483
6,353
6,492
6,167
6,398
6,485
6,497
6,439
6,446
6,144
6,458
6,85
6,210
6,266
6,269
6,417
6,142
6,402
6,375
6,411
6,346
6,400
6,498
6,425
6,321
6,313
6,421
6,326
6,299
6,408
6,478
6,404
7,466
7,422
7,477
7,288
7,387
7,272
7,356
7,494
7,254
7,439
7,113
7,367
7,408
7,333
7,482
7,125
7,406
7,214
7,293
7,347
7,131
7,86
7,376
7,383
7,357
7,342
7,310
7,107
7,491
7,260
7,395
7,420
7,468
7,348
7,160
7,116
7,165
7,425
7,248
7,191
7,266
7,252
7,484
7,269
7,458
7,230
9,140
9,183
9,440
9,239
9,298
9,392
9,159
9,314
9,137
9,351
9,442
9,286
9,146
9,407
9,476
12,216
12,85
12,264
12,177
12,429
12,165
12,425
12,233
12,363
12,451
12,369
12,448
12,464
12,427
12,456
12,434
12,323
12,150
12,419
12,377
13,97
13,201
13,16
15,436
15,35
15,342
15,275
15,326
15,492
15,150
15,228
15,203
15,85
15,457
15,346
15,496
15,338
15,230
15,191
15,369
15,352
15,363
16,410
16,332
16,277
16,344
16,351
16,96
16,268
16,120
16,189
16,294
16,177
16,475
16,476
16,211
16,289
16,302
17,281
17,229
17,186
17,396
17,91
17,242
17,143
18,282
18,137
18,265
18,268
18,67
18,394
18,175
18,249
18,239
18,397
18,289
22,335
22,472
22,262
22,303
22,123
22,406
22,263
22,390
22,435
22,490
22,488
22,453
22,126
22,469
22,202
22,206
22,357
22,309
22,416
22,322
22,424
23,358
23,496
23,214
23,199
23,470
23,329
23,363
23,399
23,455
23,482
23,449
23,233
23,483
23,390
23,401
23,125
23,160
23,484
23,471
23,373
23,251
24,459
24,428
24,364
24,247
24,490
24,256
24,470
24,437
24,450
24,262
24,274
24,131
24,483
24,203
24,478
24,405
24,461
24,446
24,303
24,453
27,234
27,169
27,258
27,156
27,220
27,99
27,354
27,170
27,285
47,245
47,173
47,324
47,315
47,244
47,205
47,344
47,343
47,179
47,277
47,327
47,359
57,454
57,431
57,422
57,468
57,479
57,215
57,390
57,493
57,338
57,398
57,393
57,335
57,336
57,316
57,402
57,347
57,473
57,490
57,466
57,348
57,456
57,321
57,247
57,436
57,203
57,446
92,173
92,240
92,205
92,196
92,213
92,141
92,166
92,463
92,236
92,467
92,324
92,298
