node1,node2
0,3
0,5
0,6
0,7
0,9
0,12
0,15
0,16
0,22
0,23
0,57
0,8
0,44
0,14
0,49
0,32
0,19
0,10
0,11
0,65
0,2
0,40
0,74
0,42
0,38
0,21
0,34
0,89
0,37
0,24
0,97
0,51
0,100
0,47
0,112
0,52
0,71
0,46
0,87
3,1
3,2
3,5
3,6
3,7
3,8
3,12
3,14
3,15
3,32
3,42
3,44
3,65
3,19
3,11
3,103
3,92
3,10
3,37
3,22
3,95
3,74
3,23
3,100
3,185
3,52
3,21
3,34
3,49
3,57
3,30
3,89
3,9
3,38
3,16
3,115
3,97
3,102
3,24
3,47
3,201
3,51
3,54
3,45
3,87
3,46
3,71
3,36
3,112
3,82
3,130
3,124
3,33
3,53
3,62
3,207
3,105
3,29
3,118
3,64
3,40
3,18
3,73
3,70
3,56
3,63
3,50
3,27
3,48
3,221
3,98
3,41
3,121
3,104
3,4
4,59
4,69
4,78
4,110
4,168
4,155
4,128
5,2
5,19
5,14
5,10
5,6
5,7
5,51
5,65
5,8
5,89
5,38
5,32
5,100
6,2
6,8
6,9
6,11
6,23
6,37
6,65
6,97
6,19
6,34
6,52
6,12
6,7
6,16
6,32
6,10
6,57
6,14
6,42
6,74
6,22
6,87
6,38
6,201
6,51
6,15
6,24
6,40
6,89
6,21
6,49
6,47
6,100
6,46
6,112
6,18
6,92
6,44
6,71
6,102
6,29
7,2
7,10
7,11
7,14
7,22
7,89
7,115
7,23
7,65
7,24
7,19
7,38
7,21
7,12
7,71
7,15
7,8
7,16
7,51
7,37
7,32
7,49
7,57
7,34
7,100
7,46
7,40
7,9
7,87
7,112
7,42
7,52
7,44
7,201
7,97
7,74
7,47
7,29
7,30
7,92
7,103
7,18
9,8
9,14
9,10
9,2
9,19
9,32
9,22
9,100
9,11
9,38
9,44
12,2
12,14
12,8
12,10
12,37
12,24
12,23
12,57
12,32
12,65
12,22
12,19
12,34
12,15
12,42
12,16
13,189
13,409
13,286
13,410
15,2
15,65
15,57
15,32
15,14
15,10
15,22
15,24
15,19
15,34
15,8
15,42
15,37
15,23
16,22
16,19
16,2
16,8
16,10
16,14
16,57
16,24
16,97
16,65
16,37
16,42
17,28
17,157
17,114
17,145
17,238
17,79
17,101
18,29
18,102
18,115
18,103
18,30
18,124
18,36
18,1
22,10
22,42
22,57
22,24
22,34
22,32
22,8
22,14
22,19
22,2
22,65
22,23
22,37
23,14
23,2
23,10
23,19
23,57
23,8
23,65
23,24
23,32
23,97
23,49
23,37
23,42
23,34
24,10
24,65
24,2
24,14
24,8
24,19
24,42
24,57
24,32
24,37
24,49
27,207
27,56
27,70
27,33
27,105
27,48
27,130
27,128
47,10
47,2
47,112
47,30
47,201
47,87
47,40
47,115
57,14
57,32
57,10
57,65
57,8
57,2
57,34
57,19
57,37
57,97
57,42
57,89
57,49
57,38
57,21
57,100
92,2
92,10
92,71
92,201
92,112
92,40
92,30
92,102
92,87
93,312
93,349
93,61
93,234
93,153
94,98
94,55
94,224
94,149
94,59
94,128
94,78
94,158
139,61
139,445
139,430
139,386
139,234
156,301
156,217
156,354
156,184
156,181
273,212
273,178
273,339
273,407
281,271
281,119
281,172
281,186
281,180
281,195
303,465
303,443
303,261
318,367
318,228
318,488
322,337
322,474
322,419
327,300
327,205
327,311
327,359
337,252
337,85
340,490
340,284
340,453
354,122
354,386
354,152
354,127
365,480
365,368
365,232
372,250
372,359
372,319
372,189
374,378
374,222
374,90
374,412
374,152
375,363
375,275
375,203
443,464
443,383
487,355
487,175
487,407
487,255
493,165
493,390
493,276
1,63
1,73
1,53
1,103
1,124
1,185
1,95
1,36
19,2
19,14
19,34
19,10
19,8
19,65
19,37
19,32
19,42
19,49
19,11
19,100
19,97
45,103
45,124
45,63
45,185
45,53
45,29
45,95
45,70
45,115
56,54
56,105
56,62
56,70
56,69
56,59
56,50
61,76
61,258
61,171
109,149
109,158
109,224
109,69
109,41
109,59
109,104
109,82
171,291
171,312
171,234
171,475
188,249
188,305
188,410
188,371
208,140
208,146
208,245
208,137
295,353
295,401
295,125
2,8
2,10
2,14
2,37
2,49
2,51
2,32
2,65
2,97
2,21
2,52
2,44
2,100
2,42
2,74
2,40
2,11
2,38
2,34
2,89
2,201
2,71
2,46
2,102
2,112
2,115
2,29
8,65
8,10
8,100
8,14
8,97
8,32
8,38
8,42
8,34
8,52
8,49
8,11
8,21
8,37
8,40
8,44
8,89
8,74
8,87
8,51
10,32
10,65
10,37
10,42
10,97
10,14
10,100
10,49
10,34
10,51
10,11
10,89
10,21
10,38
10,44
10,201
10,40
10,52
10,74
10,46
10,112
10,71
14,42
14,32
14,38
14,37
14,11
14,34
14,52
14,89
14,65
14,44
14,51
14,49
14,100
14,97
14,21
14,71
14,40
14,112
14,74
20,26
20,101
20,58
20,157
20,31
20,79
20,155
25,169
25,152
25,122
25,108
25,198
28,66
28,110
28,114
28,39
28,84
28,79
31,58
31,238
31,145
31,79
31,121
31,200
37,32
37,65
37,34
38,65
38,49
38,11
38,21
49,65
49,100
49,11
51,52
51,46
51,11
51,74
51,89
81,132
81,301
81,285
81,209
81,153
101,84
101,39
101,114
101,145
101,238
125,380
125,447
132,99
132,389
132,151
132,127
183,239
183,211
183,244
183,370
191,422
191,366
191,379
196,179
196,175
196,259
196,441
221,98
221,149
221,155
221,60
221,59
221,55
221,104
223,257
223,88
223,195
223,182
223,134
223,270
231,88
231,186
231,345
231,163
231,297
231,114
233,431
233,215
233,495
283,85
283,427
283,416
308,317
308,376
308,426
311,120
311,250
311,305
328,380
328,275
328,199
378,218
378,197
378,389
378,136
388,358
388,484
388,439
412,279
412,226
412,68
412,193
429,420
429,450
429,398
439,483
439,498
448,144
448,424
448,72
480,247
480,456
483,421
483,458
32,89
32,65
32,42
32,34
32,97
33,48
33,62
33,130
33,105
33,207
33,98
33,64
35,187
35,353
35,413
39,157
39,75
39,66
39,26
39,238
42,65
42,34
44,21
44,52
44,201
44,74
44,40
48,130
48,50
48,82
48,64
48,105
48,53
62,130
62,105
62,82
62,124
62,70
62,50
63,53
63,185
63,124
63,102
63,95
63,103
63,118
65,97
65,11
65,34
66,58
66,84
66,110
66,79
66,26
71,46
71,52
71,29
71,112
72,474
72,142
77,200
77,154
77,198
77,306
77,133
77,91
91,257
91,143
91,138
91,181
91,26
130,105
130,82
130,64
130,36
141,314
141,287
141,227
141,298
144,367
144,177
154,195
154,129
154,271
154,345
154,172
164,243
164,319
164,250
164,146
186,129
186,267
186,43
186,163
187,150
187,466
190,219
190,182
190,148
190,106
190,133
190,271
197,209
197,445
197,152
197,414
203,364
203,497
205,253
205,249
205,475
207,82
207,50
207,64
207,54
207,105
207,155
209,430
209,445
209,99
217,153
217,90
217,170
217,220
224,104
224,98
224,41
224,78
224,59
224,168
240,255
240,385
240,175
240,256
248,464
248,486
248,316
257,182
257,143
257,229
257,135
278,335
278,331
278,494
285,136
285,430
285,220
285,218
300,286
300,319
300,96
320,423
320,442
320,409
320,452
321,499
321,326
321,395
323,492
323,419
323,479
326,292
326,269
332,360
332,255
332,140
332,117
346,232
346,427
346,481
353,453
355,212
355,441
355,277
360,290
360,179
360,249
361,263
361,383
361,489
368,336
368,330
387,464
387,176
387,85
394,159
394,236
394,409
394,268
403,497
403,426
403,363
416,402
416,142
424,447
424,325
425,288
425,492
425,406
452,370
452,67
452,475
465,482
465,466
469,399
469,474
469,472
484,482
484,356
499,401
499,390
83,420
83,310
83,494
150,492
150,373
181,172
181,180
181,129
181,267
272,466
272,431
272,165
26,84
26,75
26,238
86,147
86,342
86,216
176,384
176,260
194,270
194,163
194,111
194,43
194,180
194,143
210,199
210,400
210,444
363,438
398,473
398,246
410,302
410,282
11,89
36,185
36,118
36,103
36,53
36,30
36,102
60,155
60,168
60,104
60,121
60,55
60,69
60,158
99,68
99,153
99,341
100,97
100,89
105,73
114,157
114,149
114,104
115,30
115,29
115,102
115,118
115,87
117,415
117,392
117,211
118,185
118,124
118,73
118,70
118,95
118,64
121,128
121,78
121,168
121,158
121,98
122,414
122,234
122,301
123,313
123,417
123,293
162,444
162,336
162,293
179,259
179,146
219,129
219,195
219,133
219,182
219,106
297,306
297,106
297,204
297,396
297,80
298,381
298,245
298,174
304,269
304,405
304,246
317,214
317,446
336,437
364,177
364,470
371,96
371,314
371,277
373,456
373,438
450,478
450,334
456,444
50,54
50,103
50,55
50,128
53,73
53,95
53,185
53,54
69,158
69,128
69,55
69,41
74,46
74,52
74,21
78,41
78,149
78,104
78,157
82,64
82,70
82,54
88,148
88,80
88,119
88,271
89,97
95,73
95,185
95,124
95,102
129,192
129,204
145,157
145,84
145,75
145,110
148,204
148,182
148,235
148,242
158,149
158,59
158,155
159,307
159,243
159,442
161,291
161,430
161,151
161,90
161,414
170,258
170,389
170,226
170,108
211,166
211,137
226,76
226,153
226,301
247,202
247,334
259,237
259,244
316,126
316,376
339,324
339,244
339,67
341,258
341,386
341,291
341,136
344,140
344,213
344,174
344,189
392,289
392,237
392,241
441,268
441,319
445,296
445,225
470,391
470,228
498,330
498,408
29,30
29,102
29,87
30,102
30,73
30,201
41,104
41,55
41,168
75,58
75,84
75,110
75,79
169,220
169,222
169,218
169,258
235,306
235,180
235,229
235,345
235,76
252,131
252,454
280,442
280,253
280,249
280,213
314,137
314,286
333,390
333,264
333,418
348,485
348,113
348,418
362,461
362,254
362,438
409,120
418,276
449,350
449,274
449,486
76,414
76,301
108,349
108,279
108,151
126,473
126,347
155,168
155,59
243,460
243,282
254,251
254,289
265,463
265,173
265,440
265,189
460,67
460,166
460,423
96,244
96,423
111,204
111,396
111,200
111,133
111,135
113,393
113,399
127,386
127,430
127,184
138,345
138,80
138,198
138,225
138,143
140,290
151,184
151,234
152,296
201,87
201,112
201,46
213,385
213,359
253,287
253,239
264,413
264,428
275,405
292,329
292,413
302,315
302,467
302,174
334,147
352,288
352,411
352,457
359,173
380,377
458,266
458,299
478,357
478,215
21,52
21,40
64,54
64,70
146,351
68,296
68,136
68,389
70,54
116,402
116,436
116,309
195,192
195,271
206,338
206,284
206,335
370,294
370,467
415,463
415,385
415,435
124,103
124,73
46,40
46,52
46,87
58,157
58,238
58,79
90,312
90,279
166,178
166,397
174,305
192,119
192,229
192,267
192,135
222,296
222,220
222,386
238,110
293,342
294,385
294,287
294,451
306,180
306,172
306,135
431,131
457,393
457,299
479,453
479,486
497,263
43,270
43,345
43,163
43,229
149,55
149,168
163,134
163,135
266,494
266,382
455,395
455,408
455,262
468,383
468,485
468,310
84,110
135,229
202,471
202,391
215,377
325,358
325,399
389,258
490,472
490,451
177,342
250,290
313,329
313,406
133,267
133,134
400,489
400,366
73,54
73,185
165,260
167,488
167,379
167,262
212,343
212,287
428,477
428,228
160,436
160,382
160,408
182,80
426,347
131,214
137,173
260,230
305,467
329,309
419,356
55,98
98,128
134,119
134,143
134,204
227,120
227,286
227,343
242,271
242,106
242,267
242,119
242,198
437,338
437,251
459,417
459,310
459,404
107,491
107,417
107,496
193,225
193,312
193,218
193,407
230,432
230,489
277,282
277,236
288,433
433,216
433,366
491,256
491,477
232,358
338,369
481,421
481,471
261,263
261,462
200,106
200,198
200,396
274,357
274,395
421,269
496,256
496,367
103,185
198,396
396,270
396,119
299,276
307,315
307,245
307,463
347,384
351,440
351,381
351,178
436,406
67,237
331,495
331,420
495,405
204,80
216,447
80,345
172,267
172,106
180,270
112,87
423,440
485,393
330,411
384,432
218,184
350,462
350,446
391,262
432,411
147,246
407,120
435,377
435,434
143,184
241,476
241,397
241,245
225,296
225,279
291,349
291,312
369,142
369,422
175,397
471,404
229,270
397,475
279,136
442,178
173,268
220,349
239,476
239,324
349,414
357,434
440,324
454,382
454,379
282,236
255,289
237,463
446,473
268,315
199,404
309,482
251,335
315,381
214,461
324,381
236,290
422,284
476,467
476,343
356,376
488,451
401,462
168,128
343,289
472,402
461,427
434,477
