node1,node2,network
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,9,0
0,12,0
0,13,0
0,15,0
0,16,0
0,17,0
0,18,0
0,22,0
0,23,0
0,24,0
0,27,0
0,47,0
0,57,0
0,92,0
0,93,0
0,94,0
0,139,0
0,156,0
0,273,0
0,281,0
0,303,0
0,318,0
0,322,0
0,327,0
0,337,0
0,340,0
0,354,0
0,365,0
0,372,0
0,374,0
0,375,0
0,443,0
0,487,0
0,493,0
1,3,0
1,19,0
1,45,0
1,56,0
1,61,0
1,109,0
1,171,0
1,188,0
1,208,0
1,295,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,10,0
2,12,0
2,14,0
2,15,0
2,17,0
2,19,0
2,20,0
2,25,0
2,28,0
2,31,0
2,37,0
2,38,0
2,49,0
2,51,0
2,81,0
2,101,0
2,125,0
2,132,0
2,183,0
2,191,0
2,196,0
2,221,0
2,223,0
2,231,0
2,233,0
2,283,0
2,308,0
2,311,0
2,328,0
2,378,0
2,388,0
2,412,0
2,429,0
2,439,0
2,448,0
2,480,0
2,483,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,12,0
3,13,0
3,14,0
3,15,0
3,18,0
3,20,0
3,25,0
3,32,0
3,33,0
3,35,0
3,39,0
3,42,0
3,44,0
3,48,0
3,62,0
3,63,0
3,65,0
3,66,0
3,71,0
3,72,0
3,77,0
3,91,0
3,109,0
3,130,0
3,141,0
3,144,0
3,154,0
3,164,0
3,186,0
3,187,0
3,190,0
3,197,0
3,203,0
3,205,0
3,207,0
3,209,0
3,217,0
3,224,0
3,240,0
3,248,0
3,257,0
3,278,0
3,285,0
3,300,0
3,320,0
3,321,0
3,323,0
3,326,0
3,327,0
3,332,0
3,346,0
3,353,0
3,355,0
3,360,0
3,361,0
3,365,0
3,368,0
3,387,0
3,394,0
3,403,0
3,416,0
3,424,0
3,425,0
3,452,0
3,465,0
3,469,0
3,484,0
3,499,0
4,18,0
4,83,0
4,150,0
4,181,0
4,272,0
5,19,0
5,26,0
5,31,0
5,32,0
5,86,0
5,176,0
5,194,0
5,210,0
5,233,0
5,363,0
5,398,0
5,410,0
6,8,0
6,9,0
6,11,0
6,23,0
6,27,0
6,28,0
6,36,0
6,37,0
6,44,0
6,60,0
6,65,0
6,99,0
6,100,0
6,105,0
6,114,0
6,115,0
6,117,0
6,118,0
6,121,0
6,122,0
6,123,0
6,125,0
6,162,0
6,179,0
6,219,0
6,273,0
6,297,0
6,298,0
6,304,0
6,317,0
6,336,0
6,364,0
6,371,0
6,373,0
6,375,0
6,398,0
6,439,0
6,448,0
6,450,0
6,456,0
6,474,0
7,10,0
7,11,0
7,14,0
7,22,0
7,26,0
7,34,0
7,39,0
7,50,0
7,53,0
7,69,0
7,74,0
7,78,0
7,82,0
7,88,0
7,89,0
7,95,0
7,115,0
7,118,0
7,129,0
7,130,0
7,144,0
7,145,0
7,148,0
7,158,0
7,159,0
7,161,0
7,170,0
7,187,0
7,211,0
7,226,0
7,247,0
7,259,0
7,295,0
7,316,0
7,339,0
7,341,0
7,344,0
7,360,0
7,392,0
7,441,0
7,445,0
7,470,0
7,498,0
8,9,0
8,11,0
8,20,0
8,29,0
8,30,0
8,33,0
8,41,0
8,48,0
8,49,0
8,56,0
8,60,0
8,69,0
8,75,0
8,104,0
8,169,0
8,208,0
8,217,0
8,221,0
8,235,0
8,252,0
8,280,0
8,314,0
8,333,0
8,340,0
8,348,0
8,362,0
8,371,0
8,409,0
8,418,0
8,443,0
8,449,0
8,464,0
9,10,0
9,31,0
9,76,0
9,102,0
9,108,0
9,126,0
9,155,0
9,158,0
9,243,0
9,254,0
9,265,0
9,460,0
10,13,0
10,23,0
10,24,0
10,32,0
10,35,0
10,66,0
10,71,0
10,95,0
10,96,0
10,104,0
10,111,0
10,113,0
10,127,0
10,138,0
10,140,0
10,141,0
10,151,0
10,152,0
10,181,0
10,191,0
10,201,0
10,213,0
10,253,0
10,264,0
10,275,0
10,292,0
10,302,0
10,334,0
10,352,0
10,359,0
10,363,0
10,375,0
10,380,0
10,409,0
10,450,0
10,458,0
10,478,0
11,16,0
11,21,0
11,47,0
11,50,0
11,64,0
11,113,0
11,146,0
11,159,0
11,316,0
11,320,0
11,413,0
11,493,0
12,26,0
12,27,0
12,33,0
12,68,0
12,70,0
12,93,0
12,116,0
12,151,0
12,153,0
12,161,0
12,195,0
12,206,0
12,213,0
12,244,0
12,295,0
12,370,0
12,415,0
13,124,0
14,17,0
14,34,0
14,46,0
14,53,0
14,58,0
14,66,0
14,77,0
14,82,0
14,83,0
14,88,0
14,90,0
14,100,0
14,102,0
14,130,0
14,155,0
14,166,0
14,174,0
14,192,0
14,222,0
14,223,0
14,238,0
14,243,0
14,293,0
14,294,0
14,304,0
14,306,0
